role,path,sha256,warning
motion-controller native ECAD GPIO,hr30/whole-body-p0.1/electrical/motion-controller-p0.1/control-gpio-map.csv,8c619143fe6b2b99c7ed704ca44d4a4b88ba87dc948c971fe9cb0c5d20b16da0,"PRELIMINARY - HOST-COMPILED NO-MOTION LOGIC ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
motion-controller native ECAD UART,hr30/whole-body-p0.1/electrical/motion-controller-p0.1/uart-pin-map.csv,75d7c4f5c42ed1d7446f3a7543224d0cb920ec62a5e3399cc45b53290eec8eac,"PRELIMINARY - HOST-COMPILED NO-MOTION LOGIC ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
25-axis bus binding,hr30/whole-body-p0.1/actuator-bus-axis-binding.csv,5fc535d4b7195e6e483b92d6113a40cb50081b2aa6c9b23fbb1f79e9cbce053a,"PRELIMINARY - HOST-COMPILED NO-MOTION LOGIC ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
eight-bus topology,hr30/whole-body-p0.1/actuator-bus-topology.csv,ba4d7e8065ae6396258c12229c5e448ad8be287dbfd506f8d45e1b5ef0d4cda4,"PRELIMINARY - HOST-COMPILED NO-MOTION LOGIC ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
25-axis commissioning matrix,hr30/whole-body-p0.1/electrical/axis-commissioning-station-p0.1/axis-commissioning-matrix.csv,682718d787627a89f2dfa03a5bdac4e1c408c87aa8b0e6a86ed035d3a5afae1b,"PRELIMINARY - HOST-COMPILED NO-MOTION LOGIC ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
structured action schema,hr30/whole-body-p0.1/structured-action-request.schema.json,d1003ae98df3766f802f7747b16b50c64283563914633d59d2a174f572e7d911,"PRELIMINARY - HOST-COMPILED NO-MOTION LOGIC ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
portable C state machine,firmware/hr30-motion-controller/src/hr30_motion.c,3e882240a42898135f293c2fac7bd2acd05ec26e735e641db2f966b2aaf0fafd,"PRELIMINARY - HOST-COMPILED NO-MOTION LOGIC ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
portable C interface,firmware/hr30-motion-controller/include/hr30_motion.h,77e6e9fabb4805386533ee50f8cad48efd0124cde0b5de88c8de0e6163a5dc71,"PRELIMINARY - HOST-COMPILED NO-MOTION LOGIC ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
compiled host evidence,firmware/hr30-motion-controller/output/host-p0.1/build-evidence.json,5c203048651ed355922587750f4fd45be738cdf05610712832f2f5bdce9cbd4f,"PRELIMINARY - HOST-COMPILED NO-MOTION LOGIC ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
firmware generator,tools/generate_hr30_motion_firmware_p01.py,d52d40f26a15b7f29999815e083453a421d6253f6f8148834db26db3cf3ba955,"PRELIMINARY - HOST-COMPILED NO-MOTION LOGIC ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
host build script,tools/build_hr30_motion_host_runner.ps1,8ab64b54125b17690d40e19108b5f2998056c9010196dc49c4d0b64df79f468e,"PRELIMINARY - HOST-COMPILED NO-MOTION LOGIC ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
