hold_id,unresolved_item,closure_evidence,state,authority,warning
FW-H01,STM32H743 startup/HAL/interrupt/platform implementation,"target project, startup code, clock tree and peripheral drivers",OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST-COMPILED NO-MOTION LOGIC ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FW-H02,target compiler/linker/reproducible binary,"locked STM32 toolchain, linker script, two clean builds and binary inspection",OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST-COMPILED NO-MOTION LOGIC ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FW-H03,hardware-in-loop boot and GPIO behavior,"received controller, oscilloscope traces and fault injection",OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST-COMPILED NO-MOTION LOGIC ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FW-H04,DYNAMIXEL read-only transport,"approved bus timing, packet implementation and proof of zero writes",OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST-COMPILED NO-MOTION LOGIC ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FW-H05,structured-action authentication transport,"key provisioning, replay storage, SPI framing and security review",OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST-COMPILED NO-MOTION LOGIC ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FW-H06,physical torque-disable feedback,defined feedback source and verified 25-axis readback,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST-COMPILED NO-MOTION LOGIC ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FW-H07,scheduler and watchdog timing,"WCET, clock/interrupt behavior, jitter and target watchdog evidence",OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST-COMPILED NO-MOTION LOGIC ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FW-H08,functional-safety allocation,qualified SRS/risk allocation and validation; this firmware receives zero safety credit,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST-COMPILED NO-MOTION LOGIC ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FW-H09,controls review and approved hash,independent source review plus signed identical build/configuration record,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST-COMPILED NO-MOTION LOGIC ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FW-H10,connection/powered work,all FER-G01 through FER-G12 completed and separately authorized,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST-COMPILED NO-MOTION LOGIC ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
