facet_id,source_tet10_element_tag,source_local_face,classification,node_tags_json,node_xyz_json,per_node_exact_trimmed_face_tags_json,union_exact_trimmed_face_tags_json,common_exact_trimmed_face_tags_json,warning
6,1215192,0,UNMAPPED,"[384045,381981,9,391460,389747,390296]","[[39.742998825435286,8.005,20.33862513722085],[39.90265684269619,8.005,20.400636917236877],[39.8,8.005,20.2],[39.822827834065734,8.005,20.369631027228866],[39.85132842134809,8.005,20.300318458618438],[39.771499412717645,8.005,20.26931256861042]]","[[76],[121],[76,121],[121],[121],[76]]","[76,121]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
12,1176220,0,UNMAPPED,"[383563,10,382006,389686,389968,390221]","[[41.62683585133754,8.005,20.34626270786754],[41.5320508075688,8.005,20.2],[41.42762711086239,8.005,20.336734038921836],[41.57944332945319,8.005,20.273131353933767],[41.47983895921562,8.005,20.268367019460914],[41.52723148109996,8.005,20.34149837339469]]","[[77],[77,121],[121],[77],[121],[77]]","[77,121]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
16,1115271,2,UNMAPPED,"[11,382008,1218,389965,389966,1226]","[[46.4679491924312,8.005,20.2],[46.55432158550599,8.005,20.356502197726183],[46.66039913011189,8.004999999999999,20.2],[46.51113538896857,8.005,20.27825109886309],[46.60736035780894,8.005,20.27825109886309],[46.564174161271524,8.004999999999999,20.2]]","[[77,122],[77],[122],[77],[122],[122]]","[77,122]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
24,1239683,0,UNMAPPED,"[382452,12,381979,384587,384588,384586]","[[48.34182379623866,8.005,20.376778025842658],[48.2,8.005,20.2],[48.11997181372571,8.005,20.370646691639383],[48.27091189811932,8.005,20.288389012921332],[48.15998590686286,8.005,20.285323345819695],[48.23089780498218,8.005,20.37371235874102]]","[[78],[78,122],[122],[78],[122],[78]]","[78,122]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
30,1150546,0,UNMAPPED,"[382002,13,383236,386940,386939,386855]","[[38.64089607642949,8.005,19.30991180215405],[38.8,8.005,19.2],[38.59609095693783,8.005,19.093986008061965],[38.72044803821474,8.005,19.25495590107703],[38.69804547846891,8.005,19.14699300403098],[38.61849351668366,8.005,19.201948905108008]]","[[76],[76,120],[120],[76],[120],[76]]","[76,120]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
32,1220832,1,UNMAPPED,"[1268,14,382092,1275,389758,387717]","[[38.8,8.004999999999999,17.67955001586972],[38.8,8.005,17.4679491924312],[38.61674831144053,8.005,17.573749604150468],[38.8,8.004999999999999,17.57374960415046],[38.708374155720264,8.005,17.52084939829084],[38.708374155720264,8.005,17.626649810010097]]","[[120],[75,120],[75],[120],[75],[120]]","[75,120]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
40,1160143,2,UNMAPPED,"[383284,15,1574,388093,1582,387993]","[[38.60609235462661,8.005,-15.577778403915225],[38.8,8.005,-15.4679491924312],[38.8,8.004999999999999,-15.691530584407602],[38.703046177313304,8.005,-15.522863798173193],[38.8,8.004999999999999,-15.57973988841938],[38.703046177313304,8.005,-15.634654494161413]]","[[75],[75,118],[118],[75],[118],[118]]","[75,118]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
48,1137427,0,UNMAPPED,"[382033,16,382445,384523,384521,384522]","[[38.61721923120617,8.005,-17.10665349056732],[38.8,8.005,-17.2],[38.612024646608894,8.005,-17.331514203624888],[38.70860961560308,8.005,-17.15332674528366],[38.70601232330445,8.005,-17.265757101812444],[38.61462193890753,8.005,-17.219083847096105]]","[[118],[74,118],[74],[118],[74],[74]]","[74,118]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
54,1109870,0,UNMAPPED,"[383671,17,381982,387974,389746,390632]","[[39.68971675540505,8.005,-18.345575656721024],[39.8,8.005,-18.2],[39.90957952051629,8.005,-18.39037064771872],[39.74485837770253,8.005,-18.272787828360514],[39.85478976025814,8.005,-18.295185323859357],[39.79964813796067,8.005,-18.36797315221987]]","[[74],[74,117],[117],[74],[117],[74]]","[74,117]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
56,1207677,3,UNMAPPED,"[1623,18,382005,1632,389969,389970]","[[41.33960086993777,8.004999999999999,-18.2],[41.5320508075688,8.005,-18.2],[41.4645868007642,8.005,-18.353319146085717],[41.43582583875331,8.004999999999999,-18.2],[41.49831880416652,8.005,-18.276659573042856],[41.40209383535099,8.005,-18.276659573042856]]","[[117],[81,117],[81],[117],[81],[117]]","[81,117]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
64,1169758,2,UNMAPPED,"[382007,19,1682,389964,1690,389963]","[[46.55419440223213,8.005,-18.356601103667646],[46.4679491924312,8.005,-18.2],[46.66039913011189,8.004999999999999,-18.2],[46.51107179733164,8.005,-18.278300551833823],[46.564174161271524,8.004999999999999,-18.2],[46.60729676617201,8.005,-18.278300551833823]]","[[81],[81,125],[125],[81],[125],[125]]","[81,125]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
72,1110540,0,UNMAPPED,"[381980,20,382460,384591,384589,384590]","[[48.11997181372571,8.005,-18.370646691639354],[48.2,8.005,-18.2],[48.34171918268319,8.005,-18.37589329679811],[48.15998590686286,8.005,-18.285323345819677],[48.27085959134159,8.005,-18.287946648399057],[48.23084549820445,8.005,-18.373269994218735]]","[[125],[80,125],[80],[125],[80],[80]]","[80,125]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
78,1219641,1,UNMAPPED,"[382004,21,382472,386412,386410,386411]","[[49.34414601247886,8.005,-17.31090806158648],[49.2,8.005,-17.2],[49.36499600702599,8.005,-17.09207217486444],[49.272073006239424,8.005,-17.255454030793242],[49.28249800351299,8.005,-17.146036087432222],[49.35457100975242,8.005,-17.20149011822546]]","[[80],[80,124],[124],[80],[124],[80]]","[80,124]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
84,1110026,0,UNMAPPED,"[383954,22,381997,389930,389607,389929]","[[49.33638525332176,8.005,19.091046206507517],[49.2,8.005,19.2],[49.35934581510006,8.005,19.314185596305474],[49.26819262666088,8.005,19.145523103253755],[49.27967290755003,8.005,19.257092798152737],[49.34786553421091,8.005,19.202615901406492]]","[[123],[78,123],[78],[123],[78],[78]]","[78,123]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
86,1141213,3,UNMAPPED,"[23,1741,382093,1748,386379,389759]","[[49.2,8.005,17.4679491924312],[49.199999999999996,8.004999999999999,17.67955001586972],[49.38325168855946,8.005,17.573749604150468],[49.199999999999996,8.004999999999999,17.57374960415046],[49.29162584427973,8.005,17.626649810010097],[49.29162584427973,8.005,17.52084939829084]]","[[79,123],[123],[79],[123],[123],[79]]","[79,123]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
94,1176722,3,UNMAPPED,"[24,383291,2047,387841,387221,2055]","[[49.2,8.005,-15.4679491924312],[49.39862420012375,8.005,-15.575328532764217],[49.199999999999996,8.004999999999999,-15.691530584407598],[49.29931210006187,8.005,-15.521638862597683],[49.29931210006187,8.005,-15.633429558585908],[49.199999999999996,8.004999999999999,-15.579739888419374]]","[[79,124],[79],[124],[79],[124],[124]]","[79,124]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1768,1117396,1,UNMAPPED,"[17306,295,383639,17346,388313,388364]","[[40.00386450979057,8.005,-19.2],[39.8,8.005,-19.2],[39.9072871225718,8.005,-19.033292528088037],[39.901932254895286,8.005,-19.2],[39.8536435612859,8.005,-19.116646264044018],[39.95557581618119,8.005,-19.116646264044018]]","[[35,81],[28,35,74,81,117],[117],[35,81],[117],[117]]","[28,35,74,81,117]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1771,1175789,1,UNMAPPED,"[295,382286,383639,388314,388312,388313]","[[39.8,8.005,-19.2],[39.71032315772653,8.005,-19.025414059608796],[39.9072871225718,8.005,-19.033292528088037],[39.75516157886326,8.005,-19.112707029804398],[39.80880514014917,8.005,-19.029353293848416],[39.8536435612859,8.005,-19.116646264044018]]","[[28,35,74,81,117],[74],[117],[74],[117],[117]]","[28,35,74,81,117]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
