part_id,datum_or_feature,intended_constraint,remaining_motion,risk,qualified_decision,warning
MV0-C01,A,translation normal to seating face plus two rotations,two in-plane translations plus clocking,surface form and restraint method can bias setup,"accept face, simulator and restraint","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C01,B pattern,two in-plane translations plus clocking,none for nominal rigid registration,modifier and simulator choice can change boundary/shift,accept pattern datum definition and modifier,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C01,secondary features,controlled output features; no additional datum constraint proposed,not applicable,adding C without functional need may create a redundant or ambiguous scheme,decide whether tertiary datum is functionally necessary,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C04,A,translation normal to seating face plus two rotations,two in-plane translations plus clocking,surface form and restraint method can bias setup,"accept face, simulator and restraint","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C04,B pattern,two in-plane translations plus clocking,none for nominal rigid registration,modifier and simulator choice can change boundary/shift,accept pattern datum definition and modifier,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C04,secondary features,controlled output features; no additional datum constraint proposed,not applicable,adding C without functional need may create a redundant or ambiguous scheme,decide whether tertiary datum is functionally necessary,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C05,A,translation normal to seating face plus two rotations,two in-plane translations plus clocking,surface form and restraint method can bias setup,"accept face, simulator and restraint","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C05,B pattern,two in-plane translations plus clocking,none for nominal rigid registration,modifier and simulator choice can change boundary/shift,accept pattern datum definition and modifier,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C05,secondary features,controlled output features; no additional datum constraint proposed,not applicable,adding C without functional need may create a redundant or ambiguous scheme,decide whether tertiary datum is functionally necessary,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C06,A,translation normal to seating face plus two rotations,two in-plane translations plus clocking,surface form and restraint method can bias setup,"accept face, simulator and restraint","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C06,B pattern,two in-plane translations plus clocking,none for nominal rigid registration,modifier and simulator choice can change boundary/shift,accept pattern datum definition and modifier,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C06,secondary features,controlled output features; no additional datum constraint proposed,not applicable,adding C without functional need may create a redundant or ambiguous scheme,decide whether tertiary datum is functionally necessary,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C07,A,translation normal to seating face plus two rotations,two in-plane translations plus clocking,surface form and restraint method can bias setup,"accept face, simulator and restraint","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C07,B pattern,two in-plane translations plus clocking,none for nominal rigid registration,modifier and simulator choice can change boundary/shift,accept pattern datum definition and modifier,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C07,secondary features,controlled output features; no additional datum constraint proposed,not applicable,adding C without functional need may create a redundant or ambiguous scheme,decide whether tertiary datum is functionally necessary,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
