screen_id,parameter,value,unit,basis,disposition,remaining_evidence,safety_credit,warning
APP-001,PNOZ input/start/feedback nominal voltage,24,VDC,Pilz 21396-EN-23,SOURCE VERIFIED,Measure on received installed hardware.,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
APP-002,PNOZ input/start/feedback current,50,mA,Pilz 21396-EN-23,SOURCE VERIFIED,Measure S11/S21 path current and voltage with exact route and contacts.,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
APP-003,PNOZ maximum input-circuit inrush,0.2 for 100,A / ms,Pilz 21396-EN-23,SOURCE VERIFIED,"Published maximum input inrush is an application screen, not an installed trace.",NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
APP-004,Phoenix minimum switching load,5 V at 10,V / mA,Phoenix 2967060 record,SOURCE VERIFIED,Environmental contamination and life at actual load remain unverified.,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
APP-005,Voltage wetting screen,4.8,ratio,24 V / 5 V,PAPER SCREEN PASS,Does not prove contact reliability or safety performance.,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
APP-006,Steady-current wetting screen,5.0,ratio,50 mA / 10 mA,PAPER SCREEN PASS,Does not prove contact reliability or safety performance.,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
APP-007,Phoenix maximum inrush switching envelope,15 for 300,A / ms,Phoenix 2967060 record,SOURCE VERIFIED,Contact voltage and category must match the received application.,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
APP-008,Input-inrush current margin screen,75,ratio,15 A / 0.2 A,PAPER SCREEN PASS,Duration screen is 100 ms within 300 ms; not a life or safety validation.,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
APP-009,Phoenix 24 VDC DC13 current envelope,2,A,Phoenix 2967060 record,SOURCE VERIFIED,PNOZ input load is not proven to be a DC13 utilization case.,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
APP-010,DC13-to-input-inrush current screen,10,ratio,2 A / 0.2 A,PAPER SCREEN PASS,Secondary conservative comparison only; exact utilization category remains to be reviewed.,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
APP-011,Mixed timing screen,30,ms,Phoenix release typical 10 ms + Pilz E-stop dropout maximum 20 ms,NOT AN ACCEPTANCE BOUND,Typical plus maximum data cannot define worst-case response; rail and torque decay remain unknown.,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
APP-012,P1.20 short-detection cable-resistance ceiling,30,ohm,Pilz dual-channel short-detection table,SOURCE VERIFIED / UNALLOCATED,"Route length, conductor, terminal/contact resistance and measurement method remain selection required.",NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
