file,size_bytes,sha256,warning
b005-disposition.csv,718,a8e491b28e156bad37e1e24fd406a0f028dc9eadffddde19a1247616242bd445,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
electrical-compatibility.csv,3619,234e7ad1daad6086fd633cbc679341afac74e1f19b4dc1660ab168ff53fec7e7,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
fault-behavior.csv,3094,3e2a0a31ce7661f8c514854846033a4874ca52e7bff2a9d9515d09913af9cef6,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
index.html,8504,087d6f3d7d6387d077ab2bc5305f11ce32acc76fdc6ae0e0a7658c871a6722af,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
open-holds.csv,2340,30fadce36abf45e7d104ebe4ed965cb9013717289edbcb14f8c1caa077bd8ec2,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
qualification-questions.csv,3155,a964ff05a61e4360d60501b88c6b6ad9ad225c36b5d9a63e047bd08866382a62,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
README.md,407,9f8fafdf0c150954ef50c74eac7a2cb5ee3f5cc36b0b6e50a824bc4db08a2823,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
source-register.csv,1672,00a5e62c07f0fc96b5d417940cc531d470bb364d66feb4c61ef1903efc99b54d,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
status.json,673,76efb4cd02963cad2e7d0b6698aac7631162d3f3bd2d963b928b1d01adc0c157,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
terminal-path-conformance.csv,9933,0135db90dda155a935979df4a2f80ae269a72794b5019f4cdcdb70fc8f88668a,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
