item,quantity,manufacturer,order_code,description,disposition
BH-01,1,Molex,39-01-2020,2-circuit Mini-Fit Jr receptacle housing,CANDIDATE
BH-02,2,Molex,39-00-0038,5556 female crimp contact for 18 AWG,CANDIDATE
BH-03,1,Mueller Electric,BU-0061-M-39-2,red 39 inch manufacturer-assembled shrouded-banana to tin-dipped 18 AWG silicone lead,CANDIDATE; RECEIPT/COMPATIBILITY VALIDATION OPEN
BH-04,1,Mueller Electric,BU-0061-M-39-0,black 39 inch manufacturer-assembled shrouded-banana to tin-dipped 18 AWG silicone lead,CANDIDATE; RECEIPT/COMPATIBILITY VALIDATION OPEN
BH-05,1,Molex,63819-0901,Mini-Fit Jr hand crimp tool,CANDIDATE; RECEIPT/CALIBRATION OPEN
BH-06,1,Molex,11-03-0044,Mini-Fit extraction tool,CANDIDATE
BH-07,as required,SELECTION REQUIRED,SELECTION REQUIRED,durable wire and assembly warning labels,SELECTION REQUIRED
BH-08,1,Mitutoyo,342-271-30,Series 342 metric Digimatic crimp-height micrometer,CANDIDATE; RECEIPT/CALIBRATION/MEASUREMENT-SYSTEM VALIDATION OPEN
BH-09,1,Mark-10,WT-205M,motorized 1000 N wire-crimp pull tester with standard turret and wedge grip,CANDIDATE; RECEIPT/GRIP-SUITABILITY/METHOD VALIDATION OPEN
BH-10,1,Mark-10,CERT,certificate of calibration with ten data points for WT-205M,CANDIDATE; RECEIVED CERTIFICATE ACCEPTANCE OPEN
BH-11,1,KNIPEX,95 11 165,cable shears for complete tin-dipped-segment removal,CANDIDATE; RECEIPT/COUPON VALIDATION OPEN
BH-12,1,KNIPEX,12 12 14,16-26 AWG form-fit stripper for silicone insulation,CANDIDATE; RECEIPT/SETUP/COUPON VALIDATION OPEN
