feature_id,part_id,dxf_layer,expected_step_kind,dxf_x_mm,dxf_z_mm,dxf_radius_mm,step_x_mm,step_z_mm,step_radius_mm,center_delta_mm,radius_delta_mm,diameter_delta_mm,result,release_effect,warning
MV0-C01-F01,MV0-C01,M2_5_CLEARANCE,CYLINDER,-16.0,-8.0,1.35,-16.0,-8.0,1.35,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C01-F02,MV0-C01,M2_5_CLEARANCE,CYLINDER,-16.0,8.0,1.35,-16.0,8.0,1.35,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C01-F03,MV0-C01,M2_5_CLEARANCE,CYLINDER,16.0,-8.0,1.35,16.0,-8.0,1.35,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C01-F04,MV0-C01,M2_5_CLEARANCE,CYLINDER,16.0,8.0,1.35,16.0,8.0,1.35,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C01-F05,MV0-C01,M5_CLEARANCE,CYLINDER,0.0,-10.0,2.75,0.0,-10.0,2.75,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C01-F06,MV0-C01,M5_COUNTERSINK_NOMINAL,CONE_EDGE,0.0,-10.0,5.65,-0.0,-10.0,5.7,0.0,0.05,0.1,CONTROLLED UPPER-LIMIT MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C01-F07,MV0-C01,M5_CLEARANCE,CYLINDER,0.0,10.0,2.75,0.0,10.0,2.75,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C01-F08,MV0-C01,M5_COUNTERSINK_NOMINAL,CONE_EDGE,0.0,10.0,5.65,-0.0,10.0,5.7,0.0,0.05,0.1,CONTROLLED UPPER-LIMIT MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C04-F01,MV0-C04,M2_5_CLEARANCE,CYLINDER,-11.0,8.0,1.35,-11.0,8.0,1.35,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C04-F02,MV0-C04,M2_5_CLEARANCE,CYLINDER,11.0,8.0,1.35,11.0,8.0,1.35,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C04-F03,MV0-C04,M2_5_CLEARANCE,CYLINDER,-12.0,-6.0,1.35,-12.0,-6.0,1.35,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C04-F04,MV0-C04,M2_5_CLEARANCE,CYLINDER,12.0,-6.0,1.35,12.0,-6.0,1.35,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C04-F05,MV0-C04,M5_CLEARANCE,CYLINDER,0.0,-10.0,2.75,0.0,-10.0,2.75,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C04-F06,MV0-C04,M5_COUNTERSINK_NOMINAL,CONE_EDGE,0.0,-10.0,5.65,-0.0,-10.0,5.7,0.0,0.05,0.1,CONTROLLED UPPER-LIMIT MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C04-F07,MV0-C04,M5_CLEARANCE,CYLINDER,0.0,10.0,2.75,0.0,10.0,2.75,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C04-F08,MV0-C04,M5_COUNTERSINK_NOMINAL,CONE_EDGE,0.0,10.0,5.65,-0.0,10.0,5.7,0.0,0.05,0.1,CONTROLLED UPPER-LIMIT MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C05-F01,MV0-C05,M2_5_CLEARANCE,CYLINDER,-16.0,-8.0,1.35,-16.0,-8.0,1.35,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C05-F02,MV0-C05,M2_5_CLEARANCE,CYLINDER,-16.0,8.0,1.35,-16.0,8.0,1.35,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C05-F03,MV0-C05,M2_5_CLEARANCE,CYLINDER,16.0,-8.0,1.35,16.0,-8.0,1.35,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C05-F04,MV0-C05,M2_5_CLEARANCE,CYLINDER,16.0,8.0,1.35,16.0,8.0,1.35,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C05-F05,MV0-C05,M8_CLEARANCE,CYLINDER,0.0,-30.0,4.25,-0.0,-30.0,4.25,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C05-F06,MV0-C05,M8_CLEARANCE,CYLINDER,0.0,30.0,4.25,-0.0,30.0,4.25,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C06-F01,MV0-C06,M2_5_CLEARANCE,CYLINDER,-16.0,-8.0,1.35,-16.0,-8.0,1.35,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C06-F02,MV0-C06,M2_5_CLEARANCE,CYLINDER,-16.0,8.0,1.35,-16.0,8.0,1.35,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C06-F03,MV0-C06,M2_5_CLEARANCE,CYLINDER,16.0,-8.0,1.35,16.0,-8.0,1.35,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C06-F04,MV0-C06,M2_5_CLEARANCE,CYLINDER,16.0,8.0,1.35,16.0,8.0,1.35,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C06-F05,MV0-C06,M5_CLEARANCE,CYLINDER,0.0,-10.0,2.75,0.0,-10.0,2.75,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C06-F06,MV0-C06,M5_COUNTERSINK_NOMINAL,CONE_EDGE,0.0,-10.0,5.65,-0.0,-10.0,5.7,0.0,0.05,0.1,CONTROLLED UPPER-LIMIT MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C06-F07,MV0-C06,M5_CLEARANCE,CYLINDER,0.0,10.0,2.75,0.0,10.0,2.75,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C06-F08,MV0-C06,M5_COUNTERSINK_NOMINAL,CONE_EDGE,0.0,10.0,5.65,-0.0,10.0,5.7,0.0,0.05,0.1,CONTROLLED UPPER-LIMIT MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C07-F01,MV0-C07,M2_5_CLEARANCE,CYLINDER,-16.0,-8.0,1.35,-16.0,-8.0,1.35,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C07-F02,MV0-C07,M2_5_CLEARANCE,CYLINDER,-16.0,8.0,1.35,-16.0,8.0,1.35,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C07-F03,MV0-C07,M2_5_CLEARANCE,CYLINDER,16.0,-8.0,1.35,16.0,-8.0,1.35,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C07-F04,MV0-C07,M2_5_CLEARANCE,CYLINDER,16.0,8.0,1.35,16.0,8.0,1.35,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C07-F05,MV0-C07,M5_CLEARANCE,CYLINDER,0.0,-10.0,2.75,0.0,-10.0,2.75,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C07-F06,MV0-C07,M5_COUNTERSINK_NOMINAL,CONE_EDGE,0.0,-10.0,5.65,-0.0,-10.0,5.7,0.0,0.05,0.1,CONTROLLED UPPER-LIMIT MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C07-F07,MV0-C07,M5_CLEARANCE,CYLINDER,0.0,10.0,2.75,0.0,10.0,2.75,0.0,0.0,0.0,EXACT NOMINAL MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
MV0-C07-F08,MV0-C07,M5_COUNTERSINK_NOMINAL,CONE_EDGE,0.0,10.0,5.65,-0.0,10.0,5.7,0.0,0.05,0.1,CONTROLLED UPPER-LIMIT MATCH,NONE - tolerances and FAI remain controlled separately,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
