screen_id,hot_route,credited_route,nominal_centerline_crossings,result,limitation,warning
X-RT-P035-RT-CRED-SR1,RT-P035,RT-CRED-SR1,0,PASS - PLANNING GEOMETRY ONLY,"Terminal entries, conductor widths, bend radii and physical separation are SELECTION REQUIRED","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
X-RT-P035-RT-CRED-SRA1,RT-P035,RT-CRED-SRA1,0,PASS - PLANNING GEOMETRY ONLY,"Terminal entries, conductor widths, bend radii and physical separation are SELECTION REQUIRED","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
X-RT-P039-RT-CRED-SR1,RT-P039,RT-CRED-SR1,0,PASS - PLANNING GEOMETRY ONLY,"Terminal entries, conductor widths, bend radii and physical separation are SELECTION REQUIRED","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
X-RT-P039-RT-CRED-SRA1,RT-P039,RT-CRED-SRA1,0,PASS - PLANNING GEOMETRY ONLY,"Terminal entries, conductor widths, bend radii and physical separation are SELECTION REQUIRED","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
X-RT-P040-RT-CRED-SR1,RT-P040,RT-CRED-SR1,0,PASS - PLANNING GEOMETRY ONLY,"Terminal entries, conductor widths, bend radii and physical separation are SELECTION REQUIRED","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
X-RT-P040-RT-CRED-SRA1,RT-P040,RT-CRED-SRA1,0,PASS - PLANNING GEOMETRY ONLY,"Terminal entries, conductor widths, bend radii and physical separation are SELECTION REQUIRED","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
X-RT-P042-RT-CRED-SR1,RT-P042,RT-CRED-SR1,0,PASS - PLANNING GEOMETRY ONLY,"Terminal entries, conductor widths, bend radii and physical separation are SELECTION REQUIRED","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
X-RT-P042-RT-CRED-SRA1,RT-P042,RT-CRED-SRA1,0,PASS - PLANNING GEOMETRY ONLY,"Terminal entries, conductor widths, bend radii and physical separation are SELECTION REQUIRED","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
X-RT-P043-RT-CRED-SR1,RT-P043,RT-CRED-SR1,0,PASS - PLANNING GEOMETRY ONLY,"Terminal entries, conductor widths, bend radii and physical separation are SELECTION REQUIRED","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
X-RT-P043-RT-CRED-SRA1,RT-P043,RT-CRED-SRA1,0,PASS - PLANNING GEOMETRY ONLY,"Terminal entries, conductor widths, bend radii and physical separation are SELECTION REQUIRED","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
X-RT-P015-RT-CRED-SR1,RT-P015,RT-CRED-SR1,0,PASS - PLANNING GEOMETRY ONLY,"Terminal entries, conductor widths, bend radii and physical separation are SELECTION REQUIRED","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
X-RT-P015-RT-CRED-SRA1,RT-P015,RT-CRED-SRA1,0,PASS - PLANNING GEOMETRY ONLY,"Terminal entries, conductor widths, bend radii and physical separation are SELECTION REQUIRED","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
X-RT-P005-RT-CRED-SR1,RT-P005,RT-CRED-SR1,0,PASS - PLANNING GEOMETRY ONLY,"Terminal entries, conductor widths, bend radii and physical separation are SELECTION REQUIRED","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
X-RT-P005-RT-CRED-SRA1,RT-P005,RT-CRED-SRA1,0,PASS - PLANNING GEOMETRY ONLY,"Terminal entries, conductor widths, bend radii and physical separation are SELECTION REQUIRED","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
