input_id,field,value,required_content,state,warning
R267-IN-01,owner_decision,,approve / decline / defer,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R267-IN-02,maximum_spend_usd,,numeric including contingency,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R267-IN-03,digikey_cart_or_quote_id,,dated identifier,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R267-IN-04,robotis_cart_or_quote_id,,dated identifier,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R267-IN-05,commercial_expiration,,date/time,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R267-IN-06,ship_to_reference,,controlled reference; do not expose full address publicly,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R267-IN-07,receiving_owner,,adult name/reference,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R267-IN-08,quarantine_location,,controlled location,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R267-IN-09,purchaser,,adult name/reference,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R267-IN-10,payment_authority,,adult name/reference,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R267-IN-11,tax_status,,taxable / accepted exemption,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R267-IN-12,signed_decision_uri,,signed artifact reference,BLANK - NOT DECIDED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
