gate_id,decision,state,required_evidence,warning
R267-G-01,Accept DigiKey marketplace actuator route,OPEN,dated cart/quote showing DigiKey seller surface and ROBOTIS Inc fulfiller,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R267-G-02,Confirm two exact 902-0137-000 units allocated,OPEN,dated allocation naming XM540-W270-T and quantity two,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R267-G-03,Confirm four exact frame-set articles allocated,OPEN,dated allocation for two 903-0270-300 and two 903-0269-300,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R267-G-04,"Close both sellers, shipping, tax, fees and expiration",OPEN,complete split-route landed-cost record,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R267-G-05,Set numerical maximum spend,OPEN,signed program-owner value,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R267-G-06,Freeze exact Boston-area ship-to,OPEN,signed controlled address reference,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R267-G-07,"Name adult purchaser, payment authority and receiver",OPEN,signed role assignments,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R267-G-08,Bind design baseline and exact line identities,PARTIALLY ADDRESSED - FORMAL ACCEPTANCE OPEN,accepted decision citing 94dc15fcbd5c82db29d265dcf2440e55398df536 and R267-LINE-01..03,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R267-G-09,Accept no-substitution and no-backorder rules,OPEN,signed rule and cart/quote without alternates,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R267-G-10,Limit authority to receipt and quarantine,OPEN,"signed scope excluding assembly, connection, power and use","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R267-G-11,Prepare serialized receiving evidence,OPEN,controlled label/photo/packing/model-readback/deviation locations,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R267-G-12,Qualify received actuator identity,OPEN,received label and connector inspection; controlled model readback only under a later separately released test,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
