item_id,module,harness_assembly,role,candidate,declared_connector_boundary,operating_power_w,dynamic_link,physical_connector_and_contacts,power_net_and_protection,data_net_and_interface,route_and_retention,completeness_state
EQ-T01-PI5,T01,HN-C01,main compute,Raspberry Pi 5 8GB SC1112 candidate,"5.1 V, Ethernet, USB, two CSI/DSI FFCs; exact locking/strain relief open",18.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-T01-PI5-COOLER,T01,HN-C01,compute cooling,Raspberry Pi Active Cooler SC1148 candidate,Pi fan header; tach/failure telemetry required,2.500,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-T01-MOTION,C01,HN-C01,deterministic motion controller,custom STM32H743ZIT6 LQFP144 motion-controller carrier candidate,JMCU_A/JMCU_B each JST BM15B-GHS-TBT; eight sourced UART pin groups; watchdog/permit and remaining board pins open,4.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-T01-WATCHDOG,S01,HN-S01,independent watchdog,Raspberry Pi Pico-class non-safety-rated diagnostic watchdog candidate,isolated heartbeat input and dry permit interface; exact circuit open,0.500,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-T01-BUS-CARRIER-A,C01,HN-C01,four-channel actuator-bus interface carrier,four-channel carrier with 4x TI ISOW1432DFMR and 4x JST BM03B-GHS-TBT data-only field headers; buses RS-LLEG | RS-RLEG | RS-LARM | RS-RARM,JST GHR-15V-S logic-only controller cable plus per-segment BM02/BM03B-GHS-TBT field headers; no actuator VDD contacts,3.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-T01-BUS-CARRIER-B,C01,HN-C01,four-channel actuator-bus interface carrier,"four-channel carrier with 1x TI ISOW1432DFMR, 3x SN74LVC1T45DCKR and exact JST GH data-only field headers; buses RS-WAIST | TTL-LDIST | TTL-RDIST | TTL-HEAD",JST GHR-15V-S logic-only controller cable plus per-segment BM02/BM03B-GHS-TBT field headers; no actuator VDD contacts,1.500,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-P01-TETHER-INLET,P01,HN-P01,tether inlet and service disconnect,keyed touch-safe 14.8 V-class inlet/disconnect assembly; SELECTION REQUIRED,two-pole power plus PE/shield reference; current/rating/keying open,0.000,base_link,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-P01-DUAL-INTERRUPT,S01,HN-S01,redundant actuator-power interruption,two-channel DC-rated interruption module; contactor/solid-state selection required,"dual coil/gate channels, monitored mirror/diagnostic outputs; ratings open",0.500,base_link,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-P01-PDU,P01,HN-P01,power distribution and branch protection,custom fused PDU/precharge/regeneration clamp carrier; schematic and values open,"tether input, actuator branches, telemetry, precharge and dump/clamp interface",0.500,base_link,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-P01-AUX-CONVERTER,P01,HN-P01,auxiliary power conversion,isolated 14.8 V to 5.1 V compute/HMI converter candidate; exact model required,protected primary input; separate compute and control outputs; grounding scheme open,0.000,base_link,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
