assembly_id,scope,modules_or_boundary,power_entry,data_entry,connector_instances,retention_and_service_access,drawing_state,authority
HN-E01,energy/battery/charge,T01 | external charger/tether,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,WHOLE-BODY ALLOCATION PRESENT - DETAILED HARNESS DRAWING OPEN,NO FABRICATION OR CONNECTION AUTHORITY
HN-S01,safety/permit,T01 | external E-stop/reset,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,WHOLE-BODY ALLOCATION PRESENT - DETAILED HARNESS DRAWING OPEN,NO FABRICATION OR CONNECTION AUTHORITY
HN-C01,compute/interfaces,T01,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,WHOLE-BODY ALLOCATION PRESENT - DETAILED HARNESS DRAWING OPEN,NO FABRICATION OR CONNECTION AUTHORITY
HN-P01,pelvis/waist,P01,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,WHOLE-BODY ALLOCATION PRESENT - DETAILED HARNESS DRAWING OPEN,NO FABRICATION OR CONNECTION AUTHORITY
HN-NH01,head and articulated neck,N01 | H01,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,WHOLE-BODY ALLOCATION PRESENT - DETAILED HARNESS DRAWING OPEN,NO FABRICATION OR CONNECTION AUTHORITY
HN-A01,left arm,A01,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,WHOLE-BODY ALLOCATION PRESENT - DETAILED HARNESS DRAWING OPEN,NO FABRICATION OR CONNECTION AUTHORITY
HN-G01,left hand,G01,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,WHOLE-BODY ALLOCATION PRESENT - DETAILED HARNESS DRAWING OPEN,NO FABRICATION OR CONNECTION AUTHORITY
HN-A02,right arm,A02,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,WHOLE-BODY ALLOCATION PRESENT - DETAILED HARNESS DRAWING OPEN,NO FABRICATION OR CONNECTION AUTHORITY
HN-G02,right hand,G02,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,WHOLE-BODY ALLOCATION PRESENT - DETAILED HARNESS DRAWING OPEN,NO FABRICATION OR CONNECTION AUTHORITY
HN-L01,left leg,L01,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,WHOLE-BODY ALLOCATION PRESENT - DETAILED HARNESS DRAWING OPEN,NO FABRICATION OR CONNECTION AUTHORITY
HN-F01,left foot,F01,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,WHOLE-BODY ALLOCATION PRESENT - DETAILED HARNESS DRAWING OPEN,NO FABRICATION OR CONNECTION AUTHORITY
HN-L02,right leg,L02,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,WHOLE-BODY ALLOCATION PRESENT - DETAILED HARNESS DRAWING OPEN,NO FABRICATION OR CONNECTION AUTHORITY
HN-F02,right foot,F02,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,WHOLE-BODY ALLOCATION PRESENT - DETAILED HARNESS DRAWING OPEN,NO FABRICATION OR CONNECTION AUTHORITY
HN-X01,external/service,"external restraint, charger, service and bench interfaces",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,WHOLE-BODY ALLOCATION PRESENT - DETAILED HARNESS DRAWING OPEN,NO FABRICATION OR CONNECTION AUTHORITY
