axis_id,bus_id,segment_order_provisional,actuator_family,protocol,actuator_side_pin_mapping,actuator_side_housing,power_corridor_chain,data_corridor_chain,actuator_id,assembled_cable_order_code,planning_geometric_length_mm,retention_flex_shielding,authority
L_HIP_YAW,RS-LLEG,1,XH540,RS-485,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,HN01_TORSO_POWER_SPINE | HN01_L_LEG_POWER,HN01_TORSO_DATA_SPINE | HN01_L_LEG_DATA,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
L_HIP_ROLL,RS-LLEG,2,XH540,RS-485,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,HN01_TORSO_POWER_SPINE | HN01_L_LEG_POWER,HN01_TORSO_DATA_SPINE | HN01_L_LEG_DATA,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
L_HIP_PITCH,RS-LLEG,3,XH540,RS-485,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,HN01_TORSO_POWER_SPINE | HN01_L_LEG_POWER,HN01_TORSO_DATA_SPINE | HN01_L_LEG_DATA,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
L_KNEE_PITCH,RS-LLEG,4,XH540,RS-485,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,HN01_TORSO_POWER_SPINE | HN01_L_LEG_POWER,HN01_TORSO_DATA_SPINE | HN01_L_LEG_DATA,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
L_ANKLE_PITCH,RS-LLEG,5,XM430,RS-485,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,HN01_TORSO_POWER_SPINE | HN01_L_LEG_POWER,HN01_TORSO_DATA_SPINE | HN01_L_LEG_DATA,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
L_ANKLE_ROLL,RS-LLEG,6,XM430,RS-485,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,HN01_TORSO_POWER_SPINE | HN01_L_LEG_POWER,HN01_TORSO_DATA_SPINE | HN01_L_LEG_DATA,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
R_HIP_YAW,RS-RLEG,1,XH540,RS-485,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,HN01_TORSO_POWER_SPINE | HN01_R_LEG_POWER,HN01_TORSO_DATA_SPINE | HN01_R_LEG_DATA,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
R_HIP_ROLL,RS-RLEG,2,XH540,RS-485,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,HN01_TORSO_POWER_SPINE | HN01_R_LEG_POWER,HN01_TORSO_DATA_SPINE | HN01_R_LEG_DATA,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
R_HIP_PITCH,RS-RLEG,3,XH540,RS-485,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,HN01_TORSO_POWER_SPINE | HN01_R_LEG_POWER,HN01_TORSO_DATA_SPINE | HN01_R_LEG_DATA,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
R_KNEE_PITCH,RS-RLEG,4,XH540,RS-485,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,HN01_TORSO_POWER_SPINE | HN01_R_LEG_POWER,HN01_TORSO_DATA_SPINE | HN01_R_LEG_DATA,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
