hold_id,hold,state,closure_evidence,release_effect,warning
R273-H01,"Qualified reviewer accepts P0.12 CAD, contact-normal extraction, 118 degree retuned striker datum and analysis scope",OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H02,"C07 M2.5 length, grip, head/nut/washer stack, torque, locking, reuse and tool access are selected and accepted",OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H03,"C06 and C07 bolt/frame/extrusion contact, preload, clearance, slip, bearing and prying are modeled and physically calibrated",OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H04,"Nonlinear C06/C07 one-rail and twin-rail contact including tolerance, edge contact and first-contact mismatch is converged",OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H05,"Received 6061-T651 material identity, MTR, orientation, machining effects and qualified allowables/factors are accepted",OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H06,"Accepted inertia, approach/overspeed, motor-current decay, bumper force-stroke and event spectrum drive dynamic analysis",OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H07,"Deflection, stopping travel, overtravel, rebound, fatigue and damage acceptance limits are qualified",OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H08,"Guard, receiver and cable envelopes are regenerated for the 108 mm contact envelope and accepted",OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H09,"Provider DFM, conventional drawings, datum/GD&T scheme and first-article plan are accepted",OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H10,"Received C06/C07 geometry, material, fastener stacks, mass and unpowered fit/contact marks pass inspection",OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H11,Single-rail and twin-rail strain/force/angle proof and stopping tests correlate to accepted models,OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H12,Configuration-bound qualified release and separate work authority are signed,OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H13,"Exact currently purchasable A04 hardware and installation tool are selected, received and inspected",OPEN,"supplier quote, datasheets, certificates, dimensional/fit record",BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H14,"A04 joined-load model includes preload, friction/slip, prying, S102 flexibility, bearing, thread/head/nut/washer behavior and tolerances",OPEN,accepted calculation/FEA and calibrated physical correlation,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H15,"Access-well geometry and A04 installation pass FAI, tool-access, torque/locking and proof tests",OPEN,"completed FAI/traveler, calibrated torque/prevailing-torque records, witness marks and proof report",BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
