connector_id,location,function,candidate_housing,mating_part,contact_order_code,contact_count,keying_retention_strain_relief,source,source_date,selection_state
J-WPS-RS-LARM-IN,WPS-RS-LARM,12 V NOMINAL CANDIDATE BOARD INPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,INPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-LLEG-IN,WPS-RS-LLEG,12 V NOMINAL CANDIDATE BOARD INPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,INPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-RARM-IN,WPS-RS-RARM,12 V NOMINAL CANDIDATE BOARD INPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,INPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-RLEG-IN,WPS-RS-RLEG,12 V NOMINAL CANDIDATE BOARD INPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,INPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-WAIST-IN,WPS-RS-WAIST,12 V NOMINAL CANDIDATE BOARD INPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,INPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-TTL-HEAD-IN,WPS-TTL-HEAD,9 V REGULATED CANDIDATE BOARD INPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,INPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-TTL-LDIST-IN,WPS-TTL-LDIST,9 V REGULATED CANDIDATE BOARD INPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,INPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-TTL-RDIST-IN,WPS-TTL-RDIST,9 V REGULATED CANDIDATE BOARD INPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,INPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-LLEG-OUT-1,WPS-RS-LLEG,CHANNEL 1 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,OUTPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-LLEG-CTL-1,WPS-RS-LLEG,CHANNEL 1 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,CONTROL CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
