circuit,bus_branch,endpoint_current_a,normal_rms_current_a,fault_current_a,length_mm,round_trip_planning_length_mm,length_basis,ambient_c,bundle_count,duty_cycle,inrush,connector_limit_a,conductor_selection,calculation_state
PWR-L_HIP_YAW,RS-LLEG,4.90,SELECTION REQUIRED,SELECTION REQUIRED,145.546,291.091,BOARD-TO-FIRST-JOINT PLUS SERIAL JOINT-DATUM LINKS PLUS ALL REGISTERED CROSSINGS; GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-L_HIP_ROLL,RS-LLEG,4.90,SELECTION REQUIRED,SELECTION REQUIRED,193.546,387.091,BOARD-TO-FIRST-JOINT PLUS SERIAL JOINT-DATUM LINKS PLUS ALL REGISTERED CROSSINGS; GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-L_HIP_PITCH,RS-LLEG,4.90,SELECTION REQUIRED,SELECTION REQUIRED,241.546,483.091,BOARD-TO-FIRST-JOINT PLUS SERIAL JOINT-DATUM LINKS PLUS ALL REGISTERED CROSSINGS; GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-L_KNEE_PITCH,RS-LLEG,4.90,SELECTION REQUIRED,SELECTION REQUIRED,429.546,859.091,BOARD-TO-FIRST-JOINT PLUS SERIAL JOINT-DATUM LINKS PLUS ALL REGISTERED CROSSINGS; GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-L_ANKLE_PITCH,RS-LLEG,2.30,SELECTION REQUIRED,SELECTION REQUIRED,612.546,1225.091,BOARD-TO-FIRST-JOINT PLUS SERIAL JOINT-DATUM LINKS PLUS ALL REGISTERED CROSSINGS; GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-L_ANKLE_ROLL,RS-LLEG,2.30,SELECTION REQUIRED,SELECTION REQUIRED,660.546,1321.091,BOARD-TO-FIRST-JOINT PLUS SERIAL JOINT-DATUM LINKS PLUS ALL REGISTERED CROSSINGS; GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-R_HIP_YAW,RS-RLEG,4.90,SELECTION REQUIRED,SELECTION REQUIRED,145.546,291.091,BOARD-TO-FIRST-JOINT PLUS SERIAL JOINT-DATUM LINKS PLUS ALL REGISTERED CROSSINGS; GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-R_HIP_ROLL,RS-RLEG,4.90,SELECTION REQUIRED,SELECTION REQUIRED,193.546,387.091,BOARD-TO-FIRST-JOINT PLUS SERIAL JOINT-DATUM LINKS PLUS ALL REGISTERED CROSSINGS; GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-R_HIP_PITCH,RS-RLEG,4.90,SELECTION REQUIRED,SELECTION REQUIRED,241.546,483.091,BOARD-TO-FIRST-JOINT PLUS SERIAL JOINT-DATUM LINKS PLUS ALL REGISTERED CROSSINGS; GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-R_KNEE_PITCH,RS-RLEG,4.90,SELECTION REQUIRED,SELECTION REQUIRED,429.546,859.091,BOARD-TO-FIRST-JOINT PLUS SERIAL JOINT-DATUM LINKS PLUS ALL REGISTERED CROSSINGS; GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-R_ANKLE_PITCH,RS-RLEG,2.30,SELECTION REQUIRED,SELECTION REQUIRED,612.546,1225.091,BOARD-TO-FIRST-JOINT PLUS SERIAL JOINT-DATUM LINKS PLUS ALL REGISTERED CROSSINGS; GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
