retention_id,axis_id,power_loop,power_crossing_count,power_crossing_segments,data_loop,fixed_side_clamp,moving_side_clamp,connector_load_isolation,minimum_pull_test,abrasion_guard,inspection_access,validation
RET-L_HIP_YAW,L_HIP_YAW,LOOP-L_HIP_YAW-PWR,1,LOOP-L_HIP_YAW-PWR,LOOP-L_HIP_YAW-DATA,REQUIRED AT J-TR-DYN-L_HIP_YAW; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-L_HIP_ROLL,L_HIP_ROLL,LOOP-L_HIP_ROLL-PWR,2,CROSS-L_HIP_ROLL-AT-L_HIP_YAW-PWR; LOOP-L_HIP_ROLL-PWR,LOOP-L_HIP_ROLL-DATA,REQUIRED AT J-TR-DYN-L_HIP_ROLL; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-L_HIP_PITCH,L_HIP_PITCH,LOOP-L_HIP_PITCH-PWR,3,CROSS-L_HIP_PITCH-AT-L_HIP_YAW-PWR; CROSS-L_HIP_PITCH-AT-L_HIP_ROLL-PWR; LOOP-L_HIP_PITCH-PWR,LOOP-L_HIP_PITCH-DATA,REQUIRED AT J-TR-DYN-L_HIP_PITCH; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-L_KNEE_PITCH,L_KNEE_PITCH,LOOP-L_KNEE_PITCH-PWR,4,CROSS-L_KNEE_PITCH-AT-L_HIP_YAW-PWR; CROSS-L_KNEE_PITCH-AT-L_HIP_ROLL-PWR; CROSS-L_KNEE_PITCH-AT-L_HIP_PITCH-PWR; LOOP-L_KNEE_PITCH-PWR,LOOP-L_KNEE_PITCH-DATA,REQUIRED AT J-TR-DYN-L_KNEE_PITCH; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-L_ANKLE_PITCH,L_ANKLE_PITCH,LOOP-L_ANKLE_PITCH-PWR,5,CROSS-L_ANKLE_PITCH-AT-L_HIP_YAW-PWR; CROSS-L_ANKLE_PITCH-AT-L_HIP_ROLL-PWR; CROSS-L_ANKLE_PITCH-AT-L_HIP_PITCH-PWR; CROSS-L_ANKLE_PITCH-AT-L_KNEE_PITCH-PWR; LOOP-L_ANKLE_PITCH-PWR,LOOP-L_ANKLE_PITCH-DATA,REQUIRED AT J-TR-DYN-L_ANKLE_PITCH; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-L_ANKLE_ROLL,L_ANKLE_ROLL,LOOP-L_ANKLE_ROLL-PWR,6,CROSS-L_ANKLE_ROLL-AT-L_HIP_YAW-PWR; CROSS-L_ANKLE_ROLL-AT-L_HIP_ROLL-PWR; CROSS-L_ANKLE_ROLL-AT-L_HIP_PITCH-PWR; CROSS-L_ANKLE_ROLL-AT-L_KNEE_PITCH-PWR; CROSS-L_ANKLE_ROLL-AT-L_ANKLE_PITCH-PWR; LOOP-L_ANKLE_ROLL-PWR,LOOP-L_ANKLE_ROLL-DATA,REQUIRED AT J-TR-DYN-L_ANKLE_ROLL; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-R_HIP_YAW,R_HIP_YAW,LOOP-R_HIP_YAW-PWR,1,LOOP-R_HIP_YAW-PWR,LOOP-R_HIP_YAW-DATA,REQUIRED AT J-TR-DYN-R_HIP_YAW; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-R_HIP_ROLL,R_HIP_ROLL,LOOP-R_HIP_ROLL-PWR,2,CROSS-R_HIP_ROLL-AT-R_HIP_YAW-PWR; LOOP-R_HIP_ROLL-PWR,LOOP-R_HIP_ROLL-DATA,REQUIRED AT J-TR-DYN-R_HIP_ROLL; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-R_HIP_PITCH,R_HIP_PITCH,LOOP-R_HIP_PITCH-PWR,3,CROSS-R_HIP_PITCH-AT-R_HIP_YAW-PWR; CROSS-R_HIP_PITCH-AT-R_HIP_ROLL-PWR; LOOP-R_HIP_PITCH-PWR,LOOP-R_HIP_PITCH-DATA,REQUIRED AT J-TR-DYN-R_HIP_PITCH; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-R_KNEE_PITCH,R_KNEE_PITCH,LOOP-R_KNEE_PITCH-PWR,4,CROSS-R_KNEE_PITCH-AT-R_HIP_YAW-PWR; CROSS-R_KNEE_PITCH-AT-R_HIP_ROLL-PWR; CROSS-R_KNEE_PITCH-AT-R_HIP_PITCH-PWR; LOOP-R_KNEE_PITCH-PWR,LOOP-R_KNEE_PITCH-DATA,REQUIRED AT J-TR-DYN-R_KNEE_PITCH; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-R_ANKLE_PITCH,R_ANKLE_PITCH,LOOP-R_ANKLE_PITCH-PWR,5,CROSS-R_ANKLE_PITCH-AT-R_HIP_YAW-PWR; CROSS-R_ANKLE_PITCH-AT-R_HIP_ROLL-PWR; CROSS-R_ANKLE_PITCH-AT-R_HIP_PITCH-PWR; CROSS-R_ANKLE_PITCH-AT-R_KNEE_PITCH-PWR; LOOP-R_ANKLE_PITCH-PWR,LOOP-R_ANKLE_PITCH-DATA,REQUIRED AT J-TR-DYN-R_ANKLE_PITCH; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-R_ANKLE_ROLL,R_ANKLE_ROLL,LOOP-R_ANKLE_ROLL-PWR,6,CROSS-R_ANKLE_ROLL-AT-R_HIP_YAW-PWR; CROSS-R_ANKLE_ROLL-AT-R_HIP_ROLL-PWR; CROSS-R_ANKLE_ROLL-AT-R_HIP_PITCH-PWR; CROSS-R_ANKLE_ROLL-AT-R_KNEE_PITCH-PWR; CROSS-R_ANKLE_ROLL-AT-R_ANKLE_PITCH-PWR; LOOP-R_ANKLE_ROLL-PWR,LOOP-R_ANKLE_ROLL-DATA,REQUIRED AT J-TR-DYN-R_ANKLE_ROLL; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-L_SHOULDER_PITCH,L_SHOULDER_PITCH,LOOP-L_SHOULDER_PITCH-PWR,1,LOOP-L_SHOULDER_PITCH-PWR,LOOP-L_SHOULDER_PITCH-DATA,REQUIRED AT J-TR-DYN-L_SHOULDER_PITCH; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
