selection_id,scope,selection,evidence_needed,state,authority
HSEL-01,all power conductors,cross-section/insulation/flex construction,"fault current, RMS/peak duty, length, ambient, bundling, voltage-drop, jurisdiction",SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HSEL-02,eight bus branches,branch fuse/current limiter and disconnect,"prospective fault current, inrush, coordination, DC interrupt rating, connector/conductor limits",SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HSEL-03,25 actuator drops,custom data-only/power-injection breakout construction,"controlled drawing, crimp process, no-backfeed continuity and fault-injection evidence",SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HSEL-04,all moving joints,"dynamic cable family, slack and minimum bend radius","joint sweep, cycle target, torsion, temperature, abrasion and supplier flex data",SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HSEL-05,eight data buses,termination/bias/baud/shielding,"measured topology, cable impedance/length, transceiver limits, waveform and EMC tests",SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HSEL-06,equipment interfaces,mating connectors/contacts/keying,"manufacturer pinout/revision, voltage/current, retention, service access and procurement availability",SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HSEL-07,retention,"clamps, grommets, strain relief and abrasion protection","full geometry, pull load, serviceability, material/fire/environment evidence",SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HSEL-08,battery/safety/charge,physical harness implementation,"qualified electrical review, protection study, PE/0V decision, service disconnect and interlock validation",SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HSEL-09,jurisdiction,applicable wiring/fire/product requirements,"Boston build/use venue, equipment classification and qualified review",SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HSEL-10,all harnesses,manufacturing and inspection process,"drawing release, tooling, crimp validation, pull test, labeling, traceability and as-built record",SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
