pair_id,axis_id,bus_id,positive_net,return_net,source_boundary,destination_connector,destination_contacts,one_way_planning_length_mm,round_trip_planning_length_mm,length_basis,conductor_selection,authority
PAIR-L_HIP_YAW,L_HIP_YAW,RS-LLEG,L_HIP_YAW_VDD,RS-LLEG_RET,PBR-L_HIP_YAW,J-ACT-L_HIP_YAW,1=RETURN; 2=VDD,47.209,94.419,POWER-CORRIDOR START TO AXIS DATUM PLUS 28 mm LOCAL LOOP; CUT LENGTH/SLACK NOT RELEASED,SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PAIR-L_HIP_ROLL,L_HIP_ROLL,RS-LLEG,L_HIP_ROLL_VDD,RS-LLEG_RET,PBR-L_HIP_ROLL,J-ACT-L_HIP_ROLL,1=RETURN; 2=VDD,49.213,98.426,POWER-CORRIDOR START TO AXIS DATUM PLUS 28 mm LOCAL LOOP; CUT LENGTH/SLACK NOT RELEASED,SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PAIR-L_HIP_PITCH,L_HIP_PITCH,RS-LLEG,L_HIP_PITCH_VDD,RS-LLEG_RET,PBR-L_HIP_PITCH,J-ACT-L_HIP_PITCH,1=RETURN; 2=VDD,53.652,107.303,POWER-CORRIDOR START TO AXIS DATUM PLUS 28 mm LOCAL LOOP; CUT LENGTH/SLACK NOT RELEASED,SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PAIR-L_KNEE_PITCH,L_KNEE_PITCH,RS-LLEG,L_KNEE_PITCH_VDD,RS-LLEG_RET,PBR-L_KNEE_PITCH,J-ACT-L_KNEE_PITCH,1=RETURN; 2=VDD,215.984,431.968,POWER-CORRIDOR START TO AXIS DATUM PLUS 28 mm LOCAL LOOP; CUT LENGTH/SLACK NOT RELEASED,SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PAIR-L_ANKLE_PITCH,L_ANKLE_PITCH,RS-LLEG,L_ANKLE_PITCH_VDD,RS-LLEG_RET,PBR-L_ANKLE_PITCH,J-ACT-L_ANKLE_PITCH,1=RETURN; 2=VDD,380.524,761.048,POWER-CORRIDOR START TO AXIS DATUM PLUS 28 mm LOCAL LOOP; CUT LENGTH/SLACK NOT RELEASED,SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PAIR-L_ANKLE_ROLL,L_ANKLE_ROLL,RS-LLEG,L_ANKLE_ROLL_VDD,RS-LLEG_RET,PBR-L_ANKLE_ROLL,J-ACT-L_ANKLE_ROLL,1=RETURN; 2=VDD,388.512,777.024,POWER-CORRIDOR START TO AXIS DATUM PLUS 28 mm LOCAL LOOP; CUT LENGTH/SLACK NOT RELEASED,SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PAIR-R_HIP_YAW,R_HIP_YAW,RS-RLEG,R_HIP_YAW_VDD,RS-RLEG_RET,PBR-R_HIP_YAW,J-ACT-R_HIP_YAW,1=RETURN; 2=VDD,47.209,94.419,POWER-CORRIDOR START TO AXIS DATUM PLUS 28 mm LOCAL LOOP; CUT LENGTH/SLACK NOT RELEASED,SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PAIR-R_HIP_ROLL,R_HIP_ROLL,RS-RLEG,R_HIP_ROLL_VDD,RS-RLEG_RET,PBR-R_HIP_ROLL,J-ACT-R_HIP_ROLL,1=RETURN; 2=VDD,49.213,98.426,POWER-CORRIDOR START TO AXIS DATUM PLUS 28 mm LOCAL LOOP; CUT LENGTH/SLACK NOT RELEASED,SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PAIR-R_HIP_PITCH,R_HIP_PITCH,RS-RLEG,R_HIP_PITCH_VDD,RS-RLEG_RET,PBR-R_HIP_PITCH,J-ACT-R_HIP_PITCH,1=RETURN; 2=VDD,53.652,107.303,POWER-CORRIDOR START TO AXIS DATUM PLUS 28 mm LOCAL LOOP; CUT LENGTH/SLACK NOT RELEASED,SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PAIR-R_KNEE_PITCH,R_KNEE_PITCH,RS-RLEG,R_KNEE_PITCH_VDD,RS-RLEG_RET,PBR-R_KNEE_PITCH,J-ACT-R_KNEE_PITCH,1=RETURN; 2=VDD,215.984,431.968,POWER-CORRIDOR START TO AXIS DATUM PLUS 28 mm LOCAL LOOP; CUT LENGTH/SLACK NOT RELEASED,SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PAIR-R_ANKLE_PITCH,R_ANKLE_PITCH,RS-RLEG,R_ANKLE_PITCH_VDD,RS-RLEG_RET,PBR-R_ANKLE_PITCH,J-ACT-R_ANKLE_PITCH,1=RETURN; 2=VDD,380.524,761.048,POWER-CORRIDOR START TO AXIS DATUM PLUS 28 mm LOCAL LOOP; CUT LENGTH/SLACK NOT RELEASED,SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PAIR-R_ANKLE_ROLL,R_ANKLE_ROLL,RS-RLEG,R_ANKLE_ROLL_VDD,RS-RLEG_RET,PBR-R_ANKLE_ROLL,J-ACT-R_ANKLE_ROLL,1=RETURN; 2=VDD,388.512,777.024,POWER-CORRIDOR START TO AXIS DATUM PLUS 28 mm LOCAL LOOP; CUT LENGTH/SLACK NOT RELEASED,SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PAIR-L_SHOULDER_PITCH,L_SHOULDER_PITCH,RS-LARM,L_SHOULDER_PITCH_VDD,RS-LARM_RET,PBR-L_SHOULDER_PITCH,J-ACT-L_SHOULDER_PITCH,1=RETURN; 2=VDD,52.880,105.759,POWER-CORRIDOR START TO AXIS DATUM PLUS 28 mm LOCAL LOOP; CUT LENGTH/SLACK NOT RELEASED,SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PAIR-L_SHOULDER_ROLL,L_SHOULDER_ROLL,RS-LARM,L_SHOULDER_ROLL_VDD,RS-LARM_RET,PBR-L_SHOULDER_ROLL,J-ACT-L_SHOULDER_ROLL,1=RETURN; 2=VDD,52.880,105.759,POWER-CORRIDOR START TO AXIS DATUM PLUS 28 mm LOCAL LOOP; CUT LENGTH/SLACK NOT RELEASED,SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PAIR-L_ELBOW_PITCH,L_ELBOW_PITCH,RS-LARM,L_ELBOW_PITCH_VDD,RS-LARM_RET,PBR-L_ELBOW_PITCH,J-ACT-L_ELBOW_PITCH,1=RETURN; 2=VDD,170.475,340.949,POWER-CORRIDOR START TO AXIS DATUM PLUS 28 mm LOCAL LOOP; CUT LENGTH/SLACK NOT RELEASED,SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PAIR-R_SHOULDER_PITCH,R_SHOULDER_PITCH,RS-RARM,R_SHOULDER_PITCH_VDD,RS-RARM_RET,PBR-R_SHOULDER_PITCH,J-ACT-R_SHOULDER_PITCH,1=RETURN; 2=VDD,52.880,105.759,POWER-CORRIDOR START TO AXIS DATUM PLUS 28 mm LOCAL LOOP; CUT LENGTH/SLACK NOT RELEASED,SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PAIR-R_SHOULDER_ROLL,R_SHOULDER_ROLL,RS-RARM,R_SHOULDER_ROLL_VDD,RS-RARM_RET,PBR-R_SHOULDER_ROLL,J-ACT-R_SHOULDER_ROLL,1=RETURN; 2=VDD,52.880,105.759,POWER-CORRIDOR START TO AXIS DATUM PLUS 28 mm LOCAL LOOP; CUT LENGTH/SLACK NOT RELEASED,SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
