transition_id,axis_id,power_loop,location_candidate,moving_cable,moving_connector,moving_housing_terminal,panel_connector,panel_housing_terminal,pigtail,load_path,unresolved,authority
TR-L_HIP_YAW,L_HIP_YAW,LOOP-L_HIP_YAW-PWR,FIXED-SIDE ROUTE POINT LOOP-L_HIP_YAW-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-L_HIP_YAW,430250200 + 2 x 430300001,J-TR-PIG-L_HIP_YAW,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-L_HIP_ROLL,L_HIP_ROLL,LOOP-L_HIP_ROLL-PWR,FIXED-SIDE ROUTE POINT LOOP-L_HIP_ROLL-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-L_HIP_ROLL,430250200 + 2 x 430300001,J-TR-PIG-L_HIP_ROLL,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-L_HIP_PITCH,L_HIP_PITCH,LOOP-L_HIP_PITCH-PWR,FIXED-SIDE ROUTE POINT LOOP-L_HIP_PITCH-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-L_HIP_PITCH,430250200 + 2 x 430300001,J-TR-PIG-L_HIP_PITCH,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-L_KNEE_PITCH,L_KNEE_PITCH,LOOP-L_KNEE_PITCH-PWR,FIXED-SIDE ROUTE POINT LOOP-L_KNEE_PITCH-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-L_KNEE_PITCH,430250200 + 2 x 430300001,J-TR-PIG-L_KNEE_PITCH,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-L_ANKLE_PITCH,L_ANKLE_PITCH,LOOP-L_ANKLE_PITCH-PWR,FIXED-SIDE ROUTE POINT LOOP-L_ANKLE_PITCH-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-L_ANKLE_PITCH,430250200 + 2 x 430300001,J-TR-PIG-L_ANKLE_PITCH,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-L_ANKLE_ROLL,L_ANKLE_ROLL,LOOP-L_ANKLE_ROLL-PWR,FIXED-SIDE ROUTE POINT LOOP-L_ANKLE_ROLL-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-L_ANKLE_ROLL,430250200 + 2 x 430300001,J-TR-PIG-L_ANKLE_ROLL,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-R_HIP_YAW,R_HIP_YAW,LOOP-R_HIP_YAW-PWR,FIXED-SIDE ROUTE POINT LOOP-R_HIP_YAW-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-R_HIP_YAW,430250200 + 2 x 430300001,J-TR-PIG-R_HIP_YAW,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-R_HIP_ROLL,R_HIP_ROLL,LOOP-R_HIP_ROLL-PWR,FIXED-SIDE ROUTE POINT LOOP-R_HIP_ROLL-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-R_HIP_ROLL,430250200 + 2 x 430300001,J-TR-PIG-R_HIP_ROLL,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-R_HIP_PITCH,R_HIP_PITCH,LOOP-R_HIP_PITCH-PWR,FIXED-SIDE ROUTE POINT LOOP-R_HIP_PITCH-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-R_HIP_PITCH,430250200 + 2 x 430300001,J-TR-PIG-R_HIP_PITCH,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-R_KNEE_PITCH,R_KNEE_PITCH,LOOP-R_KNEE_PITCH-PWR,FIXED-SIDE ROUTE POINT LOOP-R_KNEE_PITCH-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-R_KNEE_PITCH,430250200 + 2 x 430300001,J-TR-PIG-R_KNEE_PITCH,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
