core_id,axis_id,from_connector_contact,to_connector_contact,net,service,route,conductor_cross_section,insulation_temperature_flex,shield_or_twist,cut_length_and_slack,authority
CORE-L_HIP_YAW-GND-PIGTAIL,L_HIP_YAW,J-TR-PIG-L_HIP_YAW/1,J-ACT-L_HIP_YAW/1,RS-LLEG_RET,POWER RETURN,LOOP-L_HIP_YAW-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_HIP_YAW-GND-DYNAMIC,L_HIP_YAW,J-WPS-RS-LLEG-OUT-1/1,J-TR-DYN-L_HIP_YAW/1,RS-LLEG_RET,POWER RETURN,LOOP-L_HIP_YAW-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 145.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_HIP_YAW-VDD-PIGTAIL,L_HIP_YAW,J-TR-PIG-L_HIP_YAW/2,J-ACT-L_HIP_YAW/2,L_HIP_YAW_VDD,ACTUATOR POWER,LOOP-L_HIP_YAW-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_HIP_YAW-VDD-DYNAMIC,L_HIP_YAW,J-WPS-RS-LLEG-OUT-1/2,J-TR-DYN-L_HIP_YAW/2,L_HIP_YAW_VDD,ACTUATOR POWER,LOOP-L_HIP_YAW-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 145.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_HIP_YAW-DATAP,L_HIP_YAW,CB-RS-LLEG/DATA+,J-ACT-L_HIP_YAW/3,RS-LLEG_DATA+,DATA,LOOP-L_HIP_YAW-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 39.209 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_HIP_YAW-DATAN,L_HIP_YAW,CB-RS-LLEG/DATA-,J-ACT-L_HIP_YAW/4,RS-LLEG_DATA-,DATA,LOOP-L_HIP_YAW-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 39.209 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_HIP_ROLL-GND-PIGTAIL,L_HIP_ROLL,J-TR-PIG-L_HIP_ROLL/1,J-ACT-L_HIP_ROLL/1,RS-LLEG_RET,POWER RETURN,LOOP-L_HIP_ROLL-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_HIP_ROLL-GND-DYNAMIC,L_HIP_ROLL,J-WPS-RS-LLEG-OUT-2/1,J-TR-DYN-L_HIP_ROLL/1,RS-LLEG_RET,POWER RETURN,CROSS-L_HIP_ROLL-AT-L_HIP_YAW-PWR; LOOP-L_HIP_ROLL-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 193.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_HIP_ROLL-VDD-PIGTAIL,L_HIP_ROLL,J-TR-PIG-L_HIP_ROLL/2,J-ACT-L_HIP_ROLL/2,L_HIP_ROLL_VDD,ACTUATOR POWER,LOOP-L_HIP_ROLL-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_HIP_ROLL-VDD-DYNAMIC,L_HIP_ROLL,J-WPS-RS-LLEG-OUT-2/2,J-TR-DYN-L_HIP_ROLL/2,L_HIP_ROLL_VDD,ACTUATOR POWER,CROSS-L_HIP_ROLL-AT-L_HIP_YAW-PWR; LOOP-L_HIP_ROLL-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 193.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
