finding_id,subject,current_disposition,current_evidence,evidence_location,warning
B-001,Authoritative native engineering implementation,PARTIALLY_ADDRESSED_OPEN,"Native KiCad, CAD, firmware, deterministic manifests and checkers are now present; authoritative merge, formal acceptance and physical evidence remain open.",release/hr-v0/HR-V0-RC-P0.1-file-manifest.csv; electrical/kicad/; cad/hr-v0/; firmware/,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
B-002,Electrical revision and metrics consistency,PARTIALLY_ADDRESSED_OPEN,"Configuration identities and counts are machine controlled. P1.15 remains current while P1.18/P1.19 remain unaccepted, so promotion and independent disposition are still open.",release/hr-v0/release-candidate.json; configuration/hr-v0-config-reconciliation-p0.4/; release/hr-v0/p119-visual-correction-p0.1/,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
B-003,Buildable HR-V0 mechanical definition,PARTIALLY_ADDRESSED_OPEN,"The complete P0.8 arm, five drawing sets and manufacturing review surface now exist. Qualified drawing review, provider DFM, first articles, fit, mass and proof evidence do not.",release/hr-v0/arm-architecture-p0.8-dwg-integrated/; release/hr-v0/mechanical-manufacturing-review-p0.1/,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
B-004,Wireable HR-V0 electrical implementation,PARTIALLY_ADDRESSED_OPEN,"Native connected ECAD, explicit nodes, two-ended conductors and placement candidates exist. P1.19 still carries 63 unresolved selection/interface records and no installed inspection evidence.",electrical/kicad/project-button-v3-p1.19-visual-correction-candidate/; release/hr-v0/panel-point-to-point-p0.1/; release/hr-v0/panel-conductor-basis-p0.1/,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
B-005,Watchdog permit fault tolerance,OPEN_BLOCKER,"Two ordinary series permit contacts remove the single-weld defeat claimed against the earlier baseline, but dual/common-cause bypass, diagnostic coverage and safety allocation remain open; the watchdog retains zero safety credit.",release/hr-v0/watchdog-permit-topology-p0.1/,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
B-006,Safety requirements and PLr/SIL allocation,PARTIALLY_ADDRESSED_OPEN,"A measurable SRS candidate and review route exist. PLr/SIL, architecture/category, MTTFd/B10d, DCavg, CCF and qualified validation remain unselected or unexecuted.",release/hr-v0/safety-requirements-p0.2/; release/hr-v0/functional-safety-review-route-p0.1/,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
B-007,Total response time and stopping distance,PARTIALLY_ADDRESSED_OPEN,The first-motion candidate is 200 ms total response and 2.000 degrees residual J2-positive travel at no more than 10 degrees/s. No physical trace or accepted uncertainty budget exists.,release/hr-v0/safety-requirements-p0.2/; release/hr-v0/stopping-budget-p0.1/,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
B-008,K1/K2 DC interruption suitability,PARTIALLY_ADDRESSED_OPEN,"Current terminal parity and manufacturer catalog envelopes are controlled. Critical current, regenerative interruption, suppression, SCCR, life and manufacturer/application acceptance remain open.",release/hr-v0/contactor-application-p0.3/,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
B-009,"PE, DC bonding, shielding and enclosure",PARTIALLY_ADDRESSED_OPEN,"The exact proposed source/frame/shield boundary and pre-power methods are controlled. Site inputs, fault/clearing analysis, installed bonding, isolation and first-fault results remain open.",release/hr-v0/e2-grounding-boundary-p0.1/; release/hr-v0/e2-prepower-test-p0.1/,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
B-010,"Mass, center of mass and inertia closure",PARTIALLY_ADDRESSED_OPEN,"CAD and moving-mass ledgers exist, including the current P0.8 arm identity. Received masses, complete cable/guard/end-effector values, as-built COM and inertia correlation remain open.",bom/hr-v0-moving-mass-ledger.csv; release/hr-v0/arm-architecture-p0.8-dwg-integrated/,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
