operation_id,assembly_step,parallel_group,module_id,operation_kind,title,instruction,required_input,completion_evidence,authority,warning
F01-OP01,1,A,F01,KIT,Inventory and identify,"Verify the 3 fabrication files, 0 axis allocations, 5 equipment items and 1 harness assemblies listed in the module kit; quarantine any identity or revision mismatch.",module-kit-register.csv row F01; F01/F01_fabrication_candidate.step; F01/F01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01-OP02,1,A,F01,FRAME,Build the unpowered structure,"Assemble only these fabrication candidates to the F01 fabrication STEP: F01_SOLE_CARRIER; F01_TOP_BRIDGE; F01_TOP_COVER. Do not drill, tap or substitute from envelope dimensions.",module-kit-register.csv row F01; F01/F01_fabrication_candidate.step; F01/F01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01-OP03,1,A,F01,JOINT,Install joint modules unpowered,"Install and manually articulate: NONE. The 0 located joint screws are geometry candidates only; exact product, torque, preload and locking remain SELECTION REQUIRED.",module-kit-register.csv row F01; F01/F01_fabrication_candidate.step; F01/F01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01-OP04,1,A,F01,EQUIPMENT,Locate equipment and service access,"Locate these registered items without connecting power: EQ-F01-LOAD-11; EQ-F01-LOAD-12; EQ-F01-LOAD-21; EQ-F01-LOAD-22; EQ-F01-SOLE. Preserve the registered mounting planes, service directions and connector boundaries.",module-kit-register.csv row F01; F01/F01_fabrication_candidate.step; F01/F01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01-OP05,1,A,F01,HARNESS,Fit stationary routes and moving loops,"Fit these controlled harness assemblies with all conductors unselected and disconnected: HN-F01. Verify bend, sweep, retention and cover clearance manually.",module-kit-register.csv row F01; F01/F01_fabrication_candidate.step; F01/F01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01-OP06,1,A,F01,JOIN,Join to prerequisite module,"Join F01 only after prerequisite NONE is complete. Use datum Floor Z=0; L_ANKLE_ROLL @ (62.5, 0, 37) mm; upstream: L01 ankle-roll output; downstream: Replaceable sole/contact and force-sensing layers.",module-kit-register.csv row F01; F01/F01_fabrication_candidate.step; F01/F01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F02-OP01,1,B,F02,KIT,Inventory and identify,"Verify the 3 fabrication files, 0 axis allocations, 5 equipment items and 1 harness assemblies listed in the module kit; quarantine any identity or revision mismatch.",module-kit-register.csv row F02; F02/F02_fabrication_candidate.step; F02/F02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F02-OP02,1,B,F02,FRAME,Build the unpowered structure,"Assemble only these fabrication candidates to the F02 fabrication STEP: F02_SOLE_CARRIER; F02_TOP_BRIDGE; F02_TOP_COVER. Do not drill, tap or substitute from envelope dimensions.",module-kit-register.csv row F02; F02/F02_fabrication_candidate.step; F02/F02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F02-OP03,1,B,F02,JOINT,Install joint modules unpowered,"Install and manually articulate: NONE. The 0 located joint screws are geometry candidates only; exact product, torque, preload and locking remain SELECTION REQUIRED.",module-kit-register.csv row F02; F02/F02_fabrication_candidate.step; F02/F02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F02-OP04,1,B,F02,EQUIPMENT,Locate equipment and service access,"Locate these registered items without connecting power: EQ-F02-LOAD-11; EQ-F02-LOAD-12; EQ-F02-LOAD-21; EQ-F02-LOAD-22; EQ-F02-SOLE. Preserve the registered mounting planes, service directions and connector boundaries.",module-kit-register.csv row F02; F02/F02_fabrication_candidate.step; F02/F02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F02-OP05,1,B,F02,HARNESS,Fit stationary routes and moving loops,"Fit these controlled harness assemblies with all conductors unselected and disconnected: HN-F02. Verify bend, sweep, retention and cover clearance manually.",module-kit-register.csv row F02; F02/F02_fabrication_candidate.step; F02/F02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F02-OP06,1,B,F02,JOIN,Join to prerequisite module,"Join F02 only after prerequisite NONE is complete. Use datum Floor Z=0; R_ANKLE_ROLL @ (-62.5, 0, 37) mm; upstream: L02 ankle-roll output; downstream: Replaceable sole/contact and force-sensing layers.",module-kit-register.csv row F02; F02/F02_fabrication_candidate.step; F02/F02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
