checkpoint_id,module_id,checkpoint_kind,criterion,result,record_required,blocks_next_step_if_open,warning
F01-CP01,F01,IDENTITY,All listed part/equipment/axis/harness identities and revisions match the controlled kit.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01-CP02,F01,DATUM,"Module is located from Floor Z=0; L_ANKLE_ROLL @ (62.5, 0, 35) mm; no envelope-only drilling or shimming.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01-CP03,F01,MANUAL_MOTION,"Every installed joint moves manually through the intended candidate range with no hard interference, cable snag or cover contact.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01-CP04,F01,FASTENERS,"Every installed fastener is present and witness-marked only after an exact product, torque and locking instruction is released.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01-CP05,F01,HARNESS,"All fitted routes retain service loops, bend clearance, strain relief and connector keying; conductors remain disconnected.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01-CP06,F01,MASS,Measured module mass and local balance are recorded against the 0.239897 kg planning allocation.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F02-CP01,F02,IDENTITY,All listed part/equipment/axis/harness identities and revisions match the controlled kit.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F02-CP02,F02,DATUM,"Module is located from Floor Z=0; R_ANKLE_ROLL @ (-62.5, 0, 35) mm; no envelope-only drilling or shimming.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F02-CP03,F02,MANUAL_MOTION,"Every installed joint moves manually through the intended candidate range with no hard interference, cable snag or cover contact.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F02-CP04,F02,FASTENERS,"Every installed fastener is present and witness-marked only after an exact product, torque and locking instruction is released.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F02-CP05,F02,HARNESS,"All fitted routes retain service loops, bend clearance, strain relief and connector keying; conductors remain disconnected.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F02-CP06,F02,MASS,Measured module mass and local balance are recorded against the 0.239897 kg planning allocation.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01-CP01,L01,IDENTITY,All listed part/equipment/axis/harness identities and revisions match the controlled kit.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01-CP02,L01,DATUM,"Module is located from L_HIP_PITCH @ (62.5, 0, 380) mm; no envelope-only drilling or shimming.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
