line_id,lot_id,parent_item_id,manufacturer,order_code,quantity,unit_price_usd,extended_known_usd,price_state,official_source,source_access,availability_state,receiving_route,permitted_use_if_later_approved,prohibited_use,authorization_state,order_state,evidence_state,warning
EVA-001,LOT-B,BOM-003,ROBOTIS,U2D2; SKU 902-0132-000,1,36.92,36.92,OFFICIAL WEB SNAPSHOT,https://robotis.us/u2d2/,official record rechecked 2026-08-09,WRITTEN STOCK/ALLOCATION CONFIRMATION REQUIRED,INSPECT-BOM-001,"Receive, quarantine, identify, inventory, photograph and execute only the separately authorized unpowered receiving/evaluation procedure",Production use; fabrication release; wiring; source connection; encoder access; torque enable; motion; child access; energization,NOT AUTHORIZED,NOT ORDERED,NOT RECEIVED,"PRELIMINARY - EVALUATION ACQUISITION DECISION ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EVA-002,LOT-A,BOM-005,ROBOTIS,XM540-W270-T; SKU 902-0137-000,1,482.89,482.89,OFFICIAL WEB SNAPSHOT,https://robotis.us/dynamixel-xm540-w270-t/,official record rechecked 2026-08-09,WRITTEN STOCK/ALLOCATION CONFIRMATION REQUIRED,INSPECT-BOM-001;INSPECT-CTRL-001;TEST-CTRL-006,"Receive, quarantine, identify, inventory, photograph and execute only the separately authorized unpowered receiving/evaluation procedure",Production use; fabrication release; wiring; source connection; encoder access; torque enable; motion; child access; energization,NOT AUTHORIZED,NOT ORDERED,NOT RECEIVED,"PRELIMINARY - EVALUATION ACQUISITION DECISION ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EVA-003,LOT-A,BOM-006,ROBOTIS,XM540-W270-T; SKU 902-0137-000,1,482.89,482.89,OFFICIAL WEB SNAPSHOT,https://robotis.us/dynamixel-xm540-w270-t/,official record rechecked 2026-08-09,WRITTEN STOCK/ALLOCATION CONFIRMATION REQUIRED,INSPECT-BOM-001;INSPECT-CTRL-001;TEST-CTRL-006,"Receive, quarantine, identify, inventory, photograph and execute only the separately authorized unpowered receiving/evaluation procedure",Production use; fabrication release; wiring; source connection; encoder access; torque enable; motion; child access; energization,NOT AUTHORIZED,NOT ORDERED,NOT RECEIVED,"PRELIMINARY - EVALUATION ACQUISITION DECISION ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EVA-004,LOT-B,BOM-007,ROBOTIS,XM430-W350-T; SKU 902-0124-000,1,310.39,310.39,OFFICIAL WEB SNAPSHOT,https://robotis.us/dynamixel-xm430-w350-t/,official record rechecked 2026-08-09,WRITTEN STOCK/ALLOCATION CONFIRMATION REQUIRED,INSPECT-BOM-001;INSPECT-CTRL-001;TEST-GRIP-001,"Receive, quarantine, identify, inventory, photograph and execute only the separately authorized unpowered receiving/evaluation procedure",Production use; fabrication release; wiring; source connection; encoder access; torque enable; motion; child access; energization,NOT AUTHORIZED,NOT ORDERED,NOT RECEIVED,"PRELIMINARY - EVALUATION ACQUISITION DECISION ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EVA-005,LOT-C,BOM-010,Pilz,PNOZ s4 24 VDC; order 750104,2,QUOTE REQUIRED,0.00,QUOTE REQUIRED - NO CURRENT MANUFACTURER PRICE EXPOSED,https://www.pilz.com/en-US/eshop/product/750104,official record rechecked 2026-08-09,WRITTEN STOCK/ALLOCATION CONFIRMATION REQUIRED,INSPECT-BOM-001;TEST-SAFE-001;TEST-SAFE-003,"Receive, quarantine, identify, inventory, photograph and execute only the separately authorized unpowered receiving/evaluation procedure",Production use; fabrication release; wiring; source connection; encoder access; torque enable; motion; child access; energization,NOT AUTHORIZED,NOT ORDERED,NOT RECEIVED,"PRELIMINARY - EVALUATION ACQUISITION DECISION ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EVA-006,LOT-C,BOM-011,Schneider Electric,LC1D25BD,2,QUOTE REQUIRED,0.00,QUOTE REQUIRED - NO CURRENT MANUFACTURER PRICE EXPOSED,https://www.se.com/us/en/product/LC1D25BD/,official record rechecked 2026-08-09,WRITTEN STOCK/ALLOCATION CONFIRMATION REQUIRED,INSPECT-BOM-001;TEST-SAFE-004;TEST-ELEC-006,"Receive, quarantine, identify, inventory, photograph and execute only the separately authorized unpowered receiving/evaluation procedure",Production use; fabrication release; wiring; source connection; encoder access; torque enable; motion; child access; energization,NOT AUTHORIZED,NOT ORDERED,NOT RECEIVED,"PRELIMINARY - EVALUATION ACQUISITION DECISION ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EVA-007,LOT-C,BOM-012,IDEC,XW1E-BV402M-R,1,QUOTE REQUIRED,0.00,QUOTE REQUIRED - NO CURRENT MANUFACTURER PRICE EXPOSED,https://www.idec.com/en-us/switches-indicator-lights/switches-pushbuttons/emergency-stop-switches/xw-22mm-estop/xw1e-bv402m-r,official record rechecked 2026-08-09,WRITTEN STOCK/ALLOCATION CONFIRMATION REQUIRED,INSPECT-BOM-001;INSPECT-ELEC-003,"Receive, quarantine, identify, inventory, photograph and execute only the separately authorized unpowered receiving/evaluation procedure",Production use; fabrication release; wiring; source connection; encoder access; torque enable; motion; child access; energization,NOT AUTHORIZED,NOT ORDERED,NOT RECEIVED,"PRELIMINARY - EVALUATION ACQUISITION DECISION ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EVA-008,LOT-C,BOM-013,Raspberry Pi,Raspberry Pi Pico 1; SC0915,1,QUOTE REQUIRED,0.00,QUOTE REQUIRED - NO CURRENT MANUFACTURER PRICE EXPOSED,https://www.raspberrypi.com/products/raspberry-pi-pico/,official record rechecked 2026-08-09,WRITTEN STOCK/ALLOCATION CONFIRMATION REQUIRED,INSPECT-BOM-001;TEST-SAFE-002,"Receive, quarantine, identify, inventory, photograph and execute only the separately authorized unpowered receiving/evaluation procedure",Production use; fabrication release; wiring; source connection; encoder access; torque enable; motion; child access; energization,NOT AUTHORIZED,NOT ORDERED,NOT RECEIVED,"PRELIMINARY - EVALUATION ACQUISITION DECISION ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EVA-009,LOT-C,BOM-014,Phoenix Contact,PLC-RSC-24DC/21-21; item 2967060,2,QUOTE REQUIRED,0.00,QUOTE REQUIRED - NO CURRENT MANUFACTURER PRICE EXPOSED,https://www.phoenixcontact.com/en-pc/products/relay-module-plc-rsc-24dc-21-21-2967060,official record rechecked 2026-08-09,WRITTEN STOCK/ALLOCATION CONFIRMATION REQUIRED,INSPECT-BOM-001;TEST-SAFE-002;ANALYSIS-SAFE-002,"Receive, quarantine, identify, inventory, photograph and execute only the separately authorized unpowered receiving/evaluation procedure",Production use; fabrication release; wiring; source connection; encoder access; torque enable; motion; child access; energization,NOT AUTHORIZED,NOT ORDERED,NOT RECEIVED,"PRELIMINARY - EVALUATION ACQUISITION DECISION ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EVA-010,LOT-B,BOM-018,ROBOTIS,OpenMANIPULATOR-X Frame Set RM-X52; SKU 905-0023-000,1,314.76,314.76,OFFICIAL WEB SNAPSHOT,https://www.robotis.us/openmanipulator-x-frame-set-rm-x52/,official record rechecked 2026-08-09,WRITTEN STOCK/ALLOCATION CONFIRMATION REQUIRED,INSPECT-BOM-001;INSPECT-GRIP-001;INSPECT-MECH-008,"Receive, quarantine, identify, inventory, photograph and execute only the separately authorized unpowered receiving/evaluation procedure",Production use; fabrication release; wiring; source connection; encoder access; torque enable; motion; child access; energization,NOT AUTHORIZED,NOT ORDERED,NOT RECEIVED,"PRELIMINARY - EVALUATION ACQUISITION DECISION ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
