part,dimension,tag,type,xmin,ymin,zmin,xmax,ymax,zmax
C06,1,1,Line,-51.0000001,9.524999900000001,-20.0000001,51.0000001,9.5250001,-19.9999999
C06,1,2,Line,-51.0000001,-1e-07,-20.0000001,-50.9999999,9.5250001,-19.9999999
C06,1,3,Line,-51.0000001,-1e-07,-20.0000001,51.0000001,1e-07,-19.9999999
C06,1,4,Line,50.9999999,-1e-07,-20.0000001,51.0000001,9.5250001,-19.9999999
C06,1,5,Circle,-53.0000001,9.524999900000001,-20.0000001,-50.9999999,9.5250001,-17.9999999
C06,1,6,Circle,50.9999999,9.524999900000001,-20.0000001,53.0000001,9.5250001,-17.9999999
C06,1,7,Line,52.9999999,9.524999900000001,-18.0000001,53.0000001,9.5250001,34.0263741
C06,1,8,Circle,50.9999999,9.524999900000001,34.026373899999996,53.0000001,9.5250001,36.0263741
C06,1,9,Line,36.9999999,9.524999900000001,36.026373899999996,51.0000001,9.5250001,36.0263741
C06,1,10,Circle,34.9999999,9.524999900000001,34.026373899999996,37.0000001,9.5250001,36.0263741
C06,1,11,Line,34.9999999,9.524999900000001,18.535898284862,35.0000001,9.5250001,34.0263741
C06,1,12,Circle,34.99999989999989,9.524999900000001,18.535898284862185,37.0000001,9.5250001,22.0000001
C06,1,13,Line,36.9999999,9.524999900000001,21.9999999,37.0000001,9.5250001,34.0263741
C06,1,14,Line,36.9999999,9.524999900000001,34.026373899999996,51.0000001,9.5250001,34.0263741
C06,1,15,Line,50.9999999,9.524999900000001,-18.0000001,51.0000001,9.5250001,34.0263741
C06,1,16,Line,21.9999999,9.524999900000001,-18.0000001,51.0000001,9.5250001,-17.9999999
C06,1,17,Line,21.9999999,9.524999900000001,-18.0000001,22.0000001,9.5250001,18.0000001
C06,1,18,Line,21.9999999,9.524999900000001,17.9999999,24.0000001,9.5250001,18.0000001
C06,1,19,Circle,21.9999999,9.524999900000001,17.9999999,24.0000001,9.5250001,20.0000001
C06,1,20,Line,-22.0000001,9.524999900000001,19.9999999,22.0000001,9.5250001,20.0000001
C06,1,21,Circle,-24.0000001,9.524999900000001,17.9999999,-21.9999999,9.5250001,20.0000001
C06,1,22,Line,-24.0000001,9.524999900000001,17.9999999,-21.9999999,9.5250001,18.0000001
C06,1,23,Line,-22.0000001,9.524999900000001,-18.0000001,-21.9999999,9.5250001,18.0000001
C06,1,24,Line,-51.0000001,9.524999900000001,-18.0000001,-21.9999999,9.5250001,-17.9999999
C06,1,25,Line,-51.0000001,9.524999900000001,-18.0000001,-50.9999999,9.5250001,34.0263741
C06,1,26,Line,-51.0000001,9.524999900000001,34.026373899999996,-36.9999999,9.5250001,34.0263741
C06,1,27,Line,-37.0000001,9.524999900000001,21.9999999,-36.9999999,9.5250001,34.0263741
C06,1,28,Circle,-37.0000001,9.524999900000001,18.535898284862185,-34.99999989999989,9.5250001,22.0000001
C06,1,29,Line,-35.0000001,9.524999900000001,18.535898284862,-34.9999999,9.5250001,34.0263741
C06,1,30,Circle,-37.0000001,9.524999900000001,34.026373899999996,-34.9999999,9.5250001,36.0263741
C06,1,31,Line,-51.0000001,9.524999900000001,36.026373899999996,-36.9999999,9.5250001,36.0263741
C06,1,32,Circle,-53.0000001,9.524999900000001,34.026373899999996,-50.9999999,9.5250001,36.0263741
C06,1,33,Line,-53.0000001,9.524999900000001,-18.0000001,-52.9999999,9.5250001,34.0263741
C06,1,34,Circle,-17.350000100000003,9.524999900000001,6.6499999,-14.649999900000001,9.5250001,9.350000099999999
C06,1,35,Circle,-17.350000100000003,9.524999900000001,-9.350000099999999,-14.649999900000001,9.5250001,-6.6499999
C06,1,36,Circle,-2.7500001,9.524999900000001,7.2499999,2.7500001,9.5250001,12.7500001
C06,1,37,Circle,14.649999900000001,9.524999900000001,6.6499999,17.350000100000003,9.5250001,9.350000099999999
C06,1,38,Circle,-2.7500001,9.524999900000001,-12.7500001,2.7500001,9.5250001,-7.2499999
C06,1,39,Circle,14.649999900000001,9.524999900000001,-9.350000099999999,17.350000100000003,9.5250001,-6.6499999
C06,1,40,Circle,-53.0000001,-1e-07,-20.0000001,-50.9999999,1e-07,-17.9999999
C06,1,41,Line,-53.0000001,-1e-07,-18.0000001,-52.9999999,9.5250001,-17.9999999
