source_id,publisher,document,revision_or_date,official_url_or_path,sha256,verified_scope,execution_state,authority,warning
ACC-S01,Project Button,25-axis cable candidate register,current generated P0.1 input,hr30/whole-body-p0.1/harness/actuator-cable-kit-p0.1/axis-power-cable-candidate.csv,e4b0e27a03909fec41618a9981a1f3a961b65247ed6a2e685008162dc97565e8,"candidate cable, current caps and geometric planning lengths",NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-S02,Project Button,25-axis moving-loop obligations,current generated P0.1 input,hr30/whole-body-p0.1/harness/physical-p0.1/service-loop-register.csv,ed4efedfe38ae46aa0164d86b266e66f59e2479dc6b34086993d9c41e5d991e2,"joint axes, ranges and unresolved loop requirements",NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-S03,Project Button,whole-body route segments,current generated P0.1 input,hr30/whole-body-p0.1/harness/physical-p0.1/route-segment-register.csv,46112bc6ae6d8e82de08723082e44281b6132928dc99de9385a428eb2c27d650,fixed corridors and moving-loop planning geometry,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-S04,Project Button,actuator connector cavity population,current generated P0.1 input,hr30/whole-body-p0.1/harness/actuator-cable-kit-p0.1/connector-cavity-population.csv,4dbfc4976a13d5a46106f66606c974ebe9d544503d938ad039f1adf9a3dc1d86,contact population and controlled empty cavities,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-S05,Project Button,25-axis fixed-transition register,current generated P0.1 input,hr30/whole-body-p0.1/harness/actuator-cable-kit-p0.1/actuator-power-transition-register.csv,4582dc9b347228b6f92dd6b8fccc619ec0fa25c1bfa94fd624e3c05e6f13ce3c,"moving cable, Micro-Fit transition, restrained pigtail and open physical gates",NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-S19,Project Button,dimensioned transition-bracket status,current generated P0.1 input,hr30/whole-body-p0.1/harness/actuator-transition-brackets-p0.1/bracket-status.json,a5006722fd927d137892c7cef97753efd922d50d10a294014c8eed1604c8c232,dimensioned standard bracket parts and fail-closed physical boundary,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-S20,Project Button,25-axis transition-bracket placement register,current generated P0.1 input,hr30/whole-body-p0.1/harness/actuator-transition-brackets-p0.1/placement-register.csv,f58c55f9e9b3478a2d8d04d4c23de92d2bfffb729d7049952fff8c101507caad,"nominal module-specific bracket coordinates, orientation and spacing",NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-S06,JST,EH connector product page,live page; accessed 2026-08-16,https://www.jst-mfg.com/product/index.php?lang=2&series=58,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,AWG32-22 / 0.032-0.33 mm2; 3 A headline applies at AWG22; insulation OD 0.5-1.9 mm,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-S07,JST,EH connector data sheet,current official PDF; accessed 2026-08-16,https://www.jst-mfg.com/product/pdf/eng/eEH.pdf,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,SEH-001T-P0.6 AWG30-22 / 0.05-0.33 mm2; insulation OD 1.0-1.9 mm; AP-K2N/MKS-L/APLMK SEH001-06 production path,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-S08,JST,Crimping machines and tools,current official PDF; accessed 2026-08-16,https://www.jst-mfg.com/product/pdf/eng/eCRIMPING_MACHINES_AND_TOOLS.pdf,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,YRS-260 strip-terminal tool; YC-260R loose-piece tool; BEH-001T-P0.6 loose terminal; EJ-PH extraction tool,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
