specimen_id,purpose,specimen_length_mm,planned_quantity,construction,acceptance_boundary,is_production_cut_length,built_quantity,tested_quantity,execution_state,authority,warning
ACC-C01,crimp setup and sectioning,300,10,two terminated conductors per specimen; reserve failed setup pieces,"strip length, conductor crimp, insulation support, section and visual criteria require process owner",NO,0,0,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-C02,pull/retention development,300,10,terminated lead in controlled pull fixture,"speed, minimum force and failure mode require qualified standard/process selection",NO,0,0,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-C03,continuity and four-wire resistance,1000,3,terminated cable pair,baseline and post-test resistance limits require instrument uncertainty and temperature correction,NO,0,0,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-C04,current/temperature-rise characterization,1000,3,terminated cable pair in representative free-air and bundled fixtures,"current steps, steady-state criterion and maximum temperature require duty/ambient allocation",NO,0,0,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-C05,repeated-bend coupon,500,3,cable-only then terminated assembly,"mandrel, travel, cycles and termination restraint require route measurement",NO,0,0,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-C06,torsion coupon,1000,3,cable-only active gauge length,"published +/-90 deg/m is a manufacturer boundary, not the robot acceptance limit",NO,0,0,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-C07,housing insertion/extraction,300,6,terminated lead in EHR-3/EHR-4,"contact retention, extraction damage and reuse acceptance require process definition",NO,0,0,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-C08,static suspended-commissioning power-lead qualification,500,6,Alpha Wire 3051 red/black 22 AWG leads terminated with the selected JST EH contact path,"static-only candidate; crimp section, pull, retention, resistance and temperature-rise evidence required before any robot connection",NO,0,0,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-C09,dynamic actuator-power-pair qualification,1000,6,igus CF130.03.02.UL terminated only into Molex 430250200 / 430300001,"individual-core OD, crimp section, pull, bend, torsion, resistance and temperature-rise evidence required",NO,0,0,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-C10,complete fixed-transition assembly qualification,1000,6,CF130 to 430250200/430300001 mated with panel-mounted 430200200/430310001 and two restrained Alpha 3051 pigtail conductors,"polarity, latch, panel retention, four-wire resistance, current/temperature, pull and flex-isolation evidence required",NO,0,0,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
