hold_id,decision,required_evidence,current_evidence,status,release_effect,owner,warning
GBH-001,Applicable Boston code permit and workplace basis,"exact site written permission 527 CMR/NFPA applicability permit disposition and qualified signoff","Boston region plus current official code/permit routes",PARTIAL,"EG-001 and EG-019 stay partial",program_owner,"PRELIMINARY - NO WIRING OR ENERGIZATION AUTHORITY"
GBH-002,Site branch and equipment-grounding conductor,"receptacle identity polarity EGC continuity branch protection GFCI and site record","no selected site or measurement",OPEN,"No adapter connection",qualified_electrical_reviewer,"PRELIMINARY - NO WIRING OR ENERGIZATION AUTHORITY"
GBH-003,Received Mean Well internal PE-to--V relationship,"received exact model/lot label continuity test without opening plus manufacturer-source match","manufacturer source only",PARTIAL,"SP1 remains DNP and PSA1 remains candidate",electrical_engineer,"PRELIMINARY - NO WIRING OR ENERGIZATION AUTHORITY"
GBH-004,Robot frame/backplate/DIN-rail protective-bonding topology,"fault analysis exact conductor/lug/stud/finish/torque routing and continuity/fault-capacity criteria","objects identified; no topology or hardware",OPEN,"No panel or frame wiring release",qualified_electrical_reviewer,"PRELIMINARY - NO WIRING OR ENERGIZATION AUTHORITY"
GBH-005,Actuator case and structural continuity,"received J1/J2/J3 unpowered case-to-GND and case-to-frame measurements","manufacturer connector GND only",OPEN,"No frame relationship credit",mechanical_electrical_review,"PRELIMINARY - NO WIRING OR ENERGIZATION AUTHORITY"
GBH-006,Safety-24V first-fault treatment,"floating-source confirmation insulation routing fault injection and detection/clearing disposition","source Class II/floating fact only",OPEN,"No SAFETY_0V bond selection",electrical_safety_reviewer,"PRELIMINARY - NO WIRING OR ENERGIZATION AUTHORITY"
GBH-007,Compute/USB/U2D2 shield and return paths,"received PSU Pi U2D2 cable shell/return continuity leakage and power-sequence measurements","product brief and logical nets only",OPEN,"No compute/frame/shield bond selection",EMC_electrical_reviewer,"PRELIMINARY - NO WIRING OR ENERGIZATION AUTHORITY"
GBH-008,Every cable shield termination,"exact cable construction interface frequency/noise analysis connector shell map and EMC test plan","one isolated V3 placeholder",OPEN,"No shield wiring release",EMC_electrical_reviewer,"PRELIMINARY - NO WIRING OR ENERGIZATION AUTHORITY"
GBH-009,ELV conductor-to-metal fault clearing,"prospective source current protection clearing time conductor temperature accessible-voltage and damage analysis","protection coordination remains open",OPEN,"EG-014 and EG-016 remain partial",electrical_engineer,"PRELIMINARY - NO WIRING OR ENERGIZATION AUTHORITY"
GBH-010,Exact bonding hardware and inspection criteria,"order codes quantities materials corrosion compatibility washers lugs conductor gauge color torque labels continuity limit and calibrated method","none selected",OPEN,"No BOM drawing or assembly release",electrical_mechanical_review,"PRELIMINARY - NO WIRING OR ENERGIZATION AUTHORITY"
GBH-011,Native ECAD and harness synchronization,"selected topology in KiCad nets terminal/connector schedule wire table harness views and as-built inspection","V3 contains isolated frame/shield placeholders",OPEN,"EG-004 EG-015 EG-016 remain partial",configuration_manager,"PRELIMINARY - NO WIRING OR ENERGIZATION AUTHORITY"
GBH-012,Qualified electrical and EMC acceptance,"signed configuration-specific review including code/source/fault/EMC/test dispositions","no qualified disposition",OPEN,"No E1/E2 authorization",program_owner,"PRELIMINARY - NO WIRING OR ENERGIZATION AUTHORITY"
