record_id,object_or_net,modeled_reference,current_state,evidence_class,source_or_measurement,required_decision,prohibited_inference,warning
GBN-001,ACT_0V_PE_BONDED,"18 V3 modeled terminals including PSA1 C6P-4/5/6 and C14-PE",SOURCE_DEFINED_PARTIAL,MANUFACTURER_SOURCE,R118-SRC-001,"Confirm received source and complete installed fault/EMC review","Do not infer that the DC return conductor is a released equipment-grounding conductor","PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION"
GBN-002,SP1,"01_external_sources.kicad_sch SP1:1/2",DNP_PROHIBITED,CURRENT_ECAD,"V3-P1.13 exact-net model","Retain DNP unless a separately reviewed source/topology change is released","Do not install a second 0 V/PE system bond","PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION"
GBN-003,SAFETY_0V,"41 V3 modeled terminals",FLOATING_CANDIDATE,MANUFACTURER_SOURCE,R118-SRC-002,"Decide first-fault and EMC treatment after insulation/fault analysis","Class II/floating does not prove the assembled circuit may ignore conductive parts","PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION"
GBN-004,COMPUTE_0V,"5 V3 modeled terminals",RELATIONSHIP_UNVERIFIED,MANUFACTURER_SOURCE,R118-SRC-004,"Measure received PSU/Pi/USB shell relationships and review leakage/EMC paths","Do not infer shield or chassis bonding from a USB-C product brief","PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION"
GBN-005,ROBOT_FRAME,"10_actuator_interfaces.kicad_sch JFRAME1:TBD-FRAME",SELECTION_REQUIRED,CURRENT_ECAD,"isolated one-terminal placeholder","Select protective/functional bond or verified isolation with exact hardware","Do not treat the aluminum structure as bonded or isolated without measurement","PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION"
GBN-006,CABLE_SHIELD_TERM,"10_actuator_interfaces.kicad_sch JFRAME1:TBD-SHIELD",SELECTION_REQUIRED,CURRENT_ECAD,"isolated one-terminal placeholder","Select each cable shield termination by cable/interface/EMC evidence","Do not apply a universal one-end or both-end shield rule","PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION"
GBN-007,24V_FACTORY_CORD_SHIELD,"PSU2 YL4-3 and J24:3 on SAFETY_0V",SOURCE_DEFINED_PARTIAL,MANUFACTURER_SOURCE,R118-SRC-002,"Verify received cord and preserve manufacturer pin assignment","Do not relabel the output-return shield as PE","PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION"
GBN-008,CONTROL_BACKPLATE,"steel inner panel; absent from V3 net model",SELECTION_REQUIRED,PHYSICAL_CONFIGURATION,"received enclosure/backplate survey required","Define fault-path treatment and exact stud/lug/conductor/finish controls","Fiberglass outer enclosure does not settle steel-panel bonding","PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION"
GBN-009,DIN_RAILS,"metal rails; absent from V3 net model",SELECTION_REQUIRED,PHYSICAL_CONFIGURATION,"received rail/device continuity survey required","Define deliberate bond/isolation and device mounting evidence","Mechanical mounting does not prove electrical continuity or fault capacity","PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION"
GBN-010,ACTUATOR_CASES,"J1/J2/J3 case and catalog frames",NOT_MEASURED,MANUFACTURER_GAP,R118-SRC-005,"Measure case-to-connector-GND and case-to-frame continuity on received devices","Connector pin 1 GND does not establish metal-case bonding","PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION"
GBN-011,USB_AND_U2D2_SHIELDS,"Pi USB shell / U2D2 USB shell; absent from V3 net model",NOT_MEASURED,PHYSICAL_CONFIGURATION,"received cable/device survey required","Measure shell-to-COMPUTE_0V and shell-to-ACT_0V paths in every power state","Do not assume USB shell equals signal return or PE","PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION"
GBN-012,GUARD_FRAME,"80/20 fixed enclosure frame; absent from V3 net model",SELECTION_REQUIRED,PHYSICAL_CONFIGURATION,"final guard/robot/site layout and fault analysis required","Define bonding or accepted isolation separately from robot frame","Do not use guard contact as an accidental bonding path","PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION"
GBN-013,SITE_EQUIPMENT_GROUND,"selected Boston receptacle EGC",NOT_MEASURED,JURISDICTION_AND_SITE,R118-SRC-006; R118-SRC-007; R118-SRC-008,"Qualified site representative verifies receptacle/branch/EGC and applicability","Regional 120 V nominal data does not prove a usable grounding path","PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION"
GBN-014,PROTECTIVE_BONDING_NETWORK,"frame backplate rails guard and applicable device metalwork",NOT_DESIGNED,ENGINEERING_SELECTION,"GBN-005/008/009/012 plus qualified review","Release exact topology conductors terminals hardware torque inspection and fault capacity","A single DC star-point slogan is not a protective-bonding design","PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION"
GBN-015,DOMAIN_REFERENCE_BONDS,"ACT_0V SAFETY_0V COMPUTE_0V and shields",NOT_RELEASED,ENGINEERING_SELECTION,"source facts plus leakage EMC and fault analysis","Control each intentional reference bond and every unintended parallel path","Do not merge domains merely to simplify a drawing","PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION"
