source_id,manufacturer,candidate,official_url,document_revision_or_date,verified_scope,warning
SRC-01,ROBOTIS,XH540-W270-R,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,"ROBOTIS-GIT b0c64501, 2025-06-19; accessed 2026-08-14",10.0-14.8 V; 4.9 A stall at 12 V; stall is a momentary endpoint,"PRELIMINARY - ENERGY/SAFETY ARCHITECTURE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-02,ROBOTIS,XM540-W270-R,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm540-w270/,"ROBOTIS-GIT b0c64501, 2025-06-19; accessed 2026-08-14",10.0-14.8 V; 4.4 A stall at 12 V; stall is a momentary endpoint,"PRELIMINARY - ENERGY/SAFETY ARCHITECTURE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-03,ROBOTIS,XM430-W350-R,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm430-w350/,"ROBOTIS-GIT b0c64501, 2025-06-19; accessed 2026-08-14",10.0-14.8 V; 2.3 A stall at 12 V; stall is a momentary endpoint,"PRELIMINARY - ENERGY/SAFETY ARCHITECTURE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-04,ROBOTIS,XC330-T288-T,https://docs.robotis.com/docs/dxl/model_reference/x_series/xc_series/xc330-t288/,"ROBOTIS-GIT 91f72d1, 2026-01-27; accessed 2026-08-14",6.5-12.0 V; 0.88 A stall at 12 V; 11.1 V recommended,"PRELIMINARY - ENERGY/SAFETY ARCHITECTURE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-05,Mean Well,RSP-500-12,https://www.meanwell.com/Upload/PDF/RSP-500/RSP-500-SPEC.PDF,official datasheet; accessed 2026-08-14,"12 V, 41.7 A, 500.4 W, 10-13.2 V adjustment, constant-current limiting; enclosed mains panel required","PRELIMINARY - ENERGY/SAFETY ARCHITECTURE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-06,Pilz,PNOZ s4 750104,https://www.pilz.com/en-US/eshop/product/750104,"manual 21396-EN-23, 2026-06-22; accessed 2026-08-14","24 VDC, manual/automatic start, 3NO+1NC+semiconductor; exact application and validation open","PRELIMINARY - ENERGY/SAFETY ARCHITECTURE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-07,Mean Well,SD-15A-24,https://www.meanwell.com/Upload/PDF/SD-15/SD-15-SPEC.PDF,official datasheet; accessed 2026-08-14,isolated 9.2-18 V input to 24 V 0.625 A / 15 W candidate for control supply,"PRELIMINARY - ENERGY/SAFETY ARCHITECTURE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-08,Schneider Electric,TeSys Deca LC1D40ABD,https://shop.se.com/pro/us/en/product/iec-contactor-tesys-deca-nonreversing-40a-30hp-at-480vac-up-to-100ka-sccr-3-phase-3-no-24vdc-coil-open-style/,"MKTED210011EN v17.1, 2026-07-10, A5/120-A5/123; product page accessed 2026-08-16",24 VDC coil; 3 NO main poles; 1 NO + 1 NC built-in auxiliary; 21-22 NC mirror certified; catalog lists 50 A at 24 VDC with 1-3 series poles under DC table conditions; HR-30 application validation remains open,"PRELIMINARY - ENERGY/SAFETY ARCHITECTURE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-09,IDEC,XW emergency-stop family,https://us.idec.com/idec-us/en/USD/medias/EP1430-Estop.pdf,official catalog EP1430; accessed 2026-08-14,Safe Break/direct-opening family; exact two-NC order code and enclosure selection open,"PRELIMINARY - ENERGY/SAFETY ARCHITECTURE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-10,IDEC,HW1B-M1F11-G,https://www.idec.com/en-ca/switches-indicator-lights/switches-pushbuttons/22mm-25mm-30mm-switches/hw-22mm-heavy-duty/hw1b-m1f11-g,live official product page; accessed 2026-08-14,momentary green 1NO/1NC candidate; NO contact proposed for monitored manual reset,"PRELIMINARY - ENERGY/SAFETY ARCHITECTURE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-11,Bioenno Power,BLF-1209WS,https://www.bioennopower.com/products/12v-9ah-lfp-battery-abs-sealed-green-case-1,live official product page; accessed 2026-08-14,"12 V 9 Ah LiFePO4; 18 A continuous, 40 A/2 s; built-in PCM/balance/protection; 151x65x95 mm; 1.18 kg","PRELIMINARY - ENERGY/SAFETY ARCHITECTURE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-12,Bioenno Power,BPC-1502C,https://www.bioennopower.com/products/14-6v-2a-ac-to-dc-charger-for-12v-lifepo4-batteries-black-anderson,live official product page; accessed 2026-08-14,14.6 V 2 A charger recommended by BLF-1209WS page; exact interlock/docking implementation open,"PRELIMINARY - ENERGY/SAFETY ARCHITECTURE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-13,Pololu,S18V20F9 item 2576,https://www.pololu.com/product/2576,live official product page; accessed 2026-08-14,"9 V fixed buck-boost, 3-30 V input, typical 2 A near output voltage; one candidate per TTL branch","PRELIMINARY - ENERGY/SAFETY ARCHITECTURE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
