hold_id,subject,status,evidence_needed,warning
PCBA-HOLD-001,provider and actual facility selection,OPEN,written capability/DFM responses plus quality/commercial review,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-HOLD-002,bare-board material/stack/finish,OPEN,"exact selected laminate, thickness tolerance, copper, finish, mask, legend, panel and applicable standard",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-HOLD-003,all-reference land acceptance,PARTIAL,current 46-reference audit plus assembler reference-level acceptance/redlines,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-HOLD-004,mask/stencil/paste/reflow,OPEN,exact accepted process including ISO1/TI/Pico/passives/test points,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-HOLD-005,THT sequence and underside envelope,OPEN,"accepted method, fixture, seating, solder/flux, trim, cleaning and measured lead envelope",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-HOLD-006,cleanliness/isolation system,OPEN,working-voltage/environment determination plus process/ionic evidence and qualified review,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-HOLD-007,component sourcing/traceability,PARTIAL,"exact MPN register exists; facility sourcing, lot/date code, attrition and no-alternate controls open",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-HOLD-008,inspection and rework,OPEN,"AOI/manual criteria, first-article plan, rework limits and record schema",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-HOLD-009,bare-board test,OPEN,"agreed netlist method, acceptance criteria, raw records and certificate",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-HOLD-010,unpowered assembly test,OPEN,"fixture, pin map, continuity/isolation/no-backfeed limits and approved work instruction",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-HOLD-011,mounting stack/panel interface,PARTIAL,"R131 candidates exist; received THT envelope, exact hardware, drilling, torque and load proof open",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-HOLD-012,supplier data package,OPEN,hash-bound current CAM/BOM/centroid/drawings/traveler generated only after prior holds close,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-HOLD-013,independent/qualified review,OPEN,independent PCB/assembly and qualified electrical/insulation/mechanical disposition,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-HOLD-014,work authorization,OPEN,separate written quotation/upload/fabrication/assembly authorization for accepted immutable configuration,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
