requirement_id,topic,requirement,evidence_needed,state,warning
PCBA-REQ-001,configuration,"Bind response and any later quote to repository commit, PCB-P0.7, Electrical V3-P1.13 and this inquiry identifier.",written configuration acknowledgement,OPEN - SUPPLIER RESPONSE REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-REQ-002,substitution,"No component, footprint, laminate, finish, solder alloy, flux, cleaning or process substitution without written Project Button disposition.",supplier exception register,OPEN - SUPPLIER RESPONSE REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-REQ-003,bare board,"Review 160 x 100 x 1.6 mm, two-layer source; material, copper weight, finish, mask, legend, panelization, routing and electrical test remain selection required.",supplier DFM plus exact proposed stack/process,OPEN - SUPPLIER RESPONSE REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-REQ-004,land review,Review all 46 references and the controlled land audit; explicitly accept or redline every alternate/process-dependent land.,reference-level signed DFM disposition,OPEN - SUPPLIER RESPONSE REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-REQ-005,TI PW0016A,"Review 2 x TPL7407LPWR, 1.50 x 0.45 mm pads, 0.65 mm pitch, 5.80 mm row centers and provisional 0.05 mm NSMD margin.",written land/stencil/mask acceptance,OPEN - SUPPLIER RESPONSE REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-REQ-006,TI DBQ0016A,"Review ISO1212DBQ, 1.60 x 0.41 mm pads, 0.635 mm pitch, 5.40 mm row centers and provisional 0.05 mm NSMD margin.",written land/stencil/mask acceptance,OPEN - SUPPLIER RESPONSE REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-REQ-007,Vishay option 7,"Review VO618A-4X017T 1.52 x 1.78 mm lands, 8.010 mm inner copper gap and 11.050 mm span; preserve the isolation region.",written land/mask/stencil/cleanliness acceptance,OPEN - SUPPLIER RESPONSE REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-REQ-008,passives,Review Murata/TDK/Panasonic/Vishay manufacturer-traced lands and provisional 0.05 mm NSMD margin; explicitly select reflow for nine conditional placements and IPC-7351 reflow for RTH1/RTH2.,family/reference-level acceptance; process-basis disposition; received MMA0204 date-code record,OPEN - SUPPLIER RESPONSE REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-REQ-009,Pico module,"Confirm Raspberry Pi Pico SC0915 module presentation, reflow profile/fixture, enlarged paste zones, overhang, USB access and inspection method.",written module process and acceptance criteria,OPEN - SUPPLIER RESPONSE REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-REQ-010,test points,"Confirm 16 Harwin S1751-46R parts, 3.45 x 1.85 mm lands, placement convention and probe-access inspection.",written placement/inspection acceptance,OPEN - SUPPLIER RESPONSE REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-REQ-011,THT sequence,"Confirm post-reflow assembly for TSR 1-2450 and three Phoenix terminal blocks; specify selective/wave/manual method, fixtures, lead trim and underside envelope.",written THT traveler,OPEN - SUPPLIER RESPONSE REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-REQ-012,solder system,"State exact SMT and THT alloys, paste, flux, stencil thickness/aperture rules, thermal profile ownership and mixed-alloy compatibility.",controlled process specification,OPEN - SUPPLIER RESPONSE REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-REQ-013,cleanliness,"State no-clean/water-soluble process, cleaning, ionic-residue criterion, isolation-region handling and objective evidence.",cleanliness process and records,OPEN - SUPPLIER RESPONSE REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-REQ-014,inspection,"Provide AOI/manual criteria for polarity, bridges, opens, wetting, heel/toe fillets, Pico joints, terminal blocks and ISO1 spacing.",first-article inspection plan,OPEN - SUPPLIER RESPONSE REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-REQ-015,traceability,"Record PCB lot, component manufacturer/date/lot, substitutions, process route, nonconformances, rework and inspector.",lot traveler and traceability schema,OPEN - SUPPLIER RESPONSE REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-REQ-016,rework,"State allowed rework/repair limits, approval path and post-rework cleaning/inspection/test.",rework procedure and exception rule,OPEN - SUPPLIER RESPONSE REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-REQ-017,bare-board test,Require netlist electrical test plus visual/dimensional inspection before assembly; test limits remain to be agreed.,bare-board certificate and raw result form,OPEN - SUPPLIER RESPONSE REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-REQ-018,assembled test,Quote optional unpowered continuity/isolation/no-backfeed fixture support; no powered functional test is released.,fixture/data requirement response,OPEN - SUPPLIER RESPONSE REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-REQ-019,first article,"Separate first article from production; provide photos, AOI/manual records, measured critical geometry and all deviations before continuation.",first-article hold point,OPEN - SUPPLIER RESPONSE REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-REQ-020,authorization,Do not fabricate or assemble from this inquiry. A later hash-bound CAM/BOM/placement/traveler release and written work authorization are mandatory.,supplier acknowledgement,OPEN - SUPPLIER RESPONSE REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
