reference,manufacturer_part,footprint,process_class,process_authority,side,board_x_mm,board_y_mm,rotation_deg,numbered_pad_count,local_mask_margin_mm,local_paste_margin_mm,local_paste_ratio,land_audit_disposition,release_state,warning
CDEC1,Murata GRM21BR71H104KA01L,Murata_GRM21_Reflow_Nominal,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,74.200,53.500,90.000,2,0.050,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,CORRECTED_TO_GUIDANCE,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDRV1,Murata GRM21BR71H104KA01L,Murata_GRM21_Reflow_Nominal,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,72.000,19.000,180.000,2,0.050,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,CORRECTED_TO_GUIDANCE,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDRV2,Murata GRM21BR71H104KA01L,Murata_GRM21_Reflow_Nominal,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,104.000,19.000,180.000,2,0.050,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,CORRECTED_TO_GUIDANCE,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CFI1,TDK CGA3E2X7R1H103K080AA,TDK_CGA3_Reflow_Nominal,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,84.000,50.000,90.000,2,0.050,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,CORRECTED_TO_GUIDANCE,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CFI2,TDK CGA3E2X7R1H103K080AA,TDK_CGA3_Reflow_Nominal,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,84.000,60.800,-90.000,2,0.050,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,CORRECTED_TO_GUIDANCE,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
DC1,TRACO TSR 1-2450,Converter_DCDC_TRACO_TSR-1_THT,MANUAL_THT_POST_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,30.000,14.000,0.000,3,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,PACKAGE_GEOMETRY_MATCH_APPLICATION_UNVERIFIED,THT_APPLICATION_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
ISO1,Vishay VO618A-4X017T,VO618A_Option7_SMD,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,42.000,88.000,0.000,4,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,CORRECTED_BLOCKER,ISOLATION_AND_ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWF1,Phoenix Contact 1751248,MKDS_1_2_3P5,MANUAL_THT_POST_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,130.000,56.000,0.000,2,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,PACKAGE_GEOMETRY_MATCH_APPLICATION_UNVERIFIED,TERMINAL_SUPPORT_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWH1,Phoenix Contact 1751248,MKDS_1_2_3P5,MANUAL_THT_POST_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,10.000,88.000,0.000,2,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,PACKAGE_GEOMETRY_MATCH_APPLICATION_UNVERIFIED,TERMINAL_SUPPORT_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWP1,Phoenix Contact 1751264,MKDS_1_4_3P5,MANUAL_THT_POST_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,10.000,14.000,0.000,4,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,PACKAGE_GEOMETRY_MATCH_APPLICATION_UNVERIFIED,TERMINAL_SUPPORT_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
MH1,M3 stack selection required,MountingHole_3.2mm_M3,MECHANICAL_NPTH,MECHANICAL FEATURE - STACK SELECTION REQUIRED,F.Cu,5.000,5.000,0.000,0,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,SELECTION_REQUIRED,MOUNTING_STACK_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
MH2,M3 stack selection required,MountingHole_3.2mm_M3,MECHANICAL_NPTH,MECHANICAL FEATURE - STACK SELECTION REQUIRED,F.Cu,155.000,5.000,0.000,0,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,SELECTION_REQUIRED,MOUNTING_STACK_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
MH3,M3 stack selection required,MountingHole_3.2mm_M3,MECHANICAL_NPTH,MECHANICAL FEATURE - STACK SELECTION REQUIRED,F.Cu,5.000,95.000,0.000,0,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,SELECTION_REQUIRED,MOUNTING_STACK_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
MH4,M3 stack selection required,MountingHole_3.2mm_M3,MECHANICAL_NPTH,MECHANICAL FEATURE - STACK SELECTION REQUIRED,F.Cu,155.000,95.000,0.000,0,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,SELECTION_REQUIRED,MOUNTING_STACK_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RHB1,Panasonic ERJ6ENF9100V,Panasonic_ERJ6_Reflow_Nominal,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,28.000,88.000,0.000,2,0.050,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,CORRECTED_TO_GUIDANCE,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RHP1,Panasonic ERJ6ENF1002V,Panasonic_ERJ6_Reflow_Nominal,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,30.000,78.000,0.000,2,0.050,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,CORRECTED_TO_GUIDANCE,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RPD1,Panasonic ERJ6ENF1002V,Panasonic_ERJ6_Reflow_Nominal,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,71.000,48.000,0.000,2,0.050,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,CORRECTED_TO_GUIDANCE,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RPD2,Panasonic ERJ6ENF1002V,Panasonic_ERJ6_Reflow_Nominal,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,71.000,68.000,0.000,2,0.050,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,CORRECTED_TO_GUIDANCE,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSN1,Panasonic ERJ6ENF5620V,Panasonic_ERJ6_Reflow_Nominal,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,89.000,53.500,-90.000,2,0.050,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,CORRECTED_TO_GUIDANCE,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSN2,Panasonic ERJ6ENF5620V,Panasonic_ERJ6_Reflow_Nominal,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,89.000,58.500,-90.000,2,0.050,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,CORRECTED_TO_GUIDANCE,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSO1,Panasonic ERJ6ENF1001V,Panasonic_ERJ6_Reflow_Nominal,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,71.000,44.000,0.000,2,0.050,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,CORRECTED_TO_GUIDANCE,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSO2,Panasonic ERJ6ENF1001V,Panasonic_ERJ6_Reflow_Nominal,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,71.000,64.000,0.000,2,0.050,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,CORRECTED_TO_GUIDANCE,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RTH1,Vishay MMA02040C1001FB300,Vishay_MMA0204_IPC_Reflow,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,105.000,50.000,180.000,2,0.050,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,CORRECTED_FROM_WAVE_TO_IPC_REFLOW,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RTH2,Vishay MMA02040C1001FB300,Vishay_MMA0204_IPC_Reflow,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,105.000,62.000,180.000,2,0.050,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,CORRECTED_FROM_WAVE_TO_IPC_REFLOW,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RW1,Vishay CRCW12102K70FKEA,Vishay_CRCW1210_Reflow,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,116.000,50.000,0.000,2,0.050,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,CORRECTED_TO_REFLOW_PATTERN,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RW2,Vishay CRCW12102K70FKEA,Vishay_CRCW1210_Reflow,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,116.000,62.000,0.000,2,0.050,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,CORRECTED_TO_REFLOW_PATTERN,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP1,Harwin S1751-46R,Harwin_S1751_46R,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,52.000,20.000,0.000,1,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,R132_RECTANGULAR_SHAPE_CORRECTED,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP10,Harwin S1751-46R,Harwin_S1751_46R,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,88.000,1.500,0.000,1,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,R132_RECTANGULAR_SHAPE_CORRECTED,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP11,Harwin S1751-46R,Harwin_S1751_46R,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,134.000,46.000,0.000,1,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,R132_RECTANGULAR_SHAPE_CORRECTED,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP12,Harwin S1751-46R,Harwin_S1751_46R,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,146.000,68.000,0.000,1,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,R132_RECTANGULAR_SHAPE_CORRECTED,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP13,Harwin S1751-46R,Harwin_S1751_46R,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,70.000,38.000,0.000,1,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,R132_RECTANGULAR_SHAPE_CORRECTED,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP14,Harwin S1751-46R,Harwin_S1751_46R,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,66.000,70.000,0.000,1,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,R132_RECTANGULAR_SHAPE_CORRECTED,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP15,Harwin S1751-46R,Harwin_S1751_46R,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,76.000,38.000,0.000,1,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,R132_RECTANGULAR_SHAPE_CORRECTED,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
