source_id,organization,record,revision_date,locator,use,warning
PCBA-SRC-001,Project Button,PCB-P0.7 native KiCad board,KiCad 10.0.5; repository state 2026-08-09,electrical/kicad/project-button-v3/project-button-v3.kicad_pcb,"board geometry, placements and process split",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-SRC-002,Project Button,HR-V0-WD-LAND-P0.1 46-reference audit,R89; rechecked 2026-08-09,release/hr-v0/watchdog-pcb-land-pattern-audit-p0.1/land-pattern-audit.csv,exact part/footprint evidence and remaining holds,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-SRC-003,Texas Instruments,TPL7407L and PW0016A example land,SLRS066D Rev D 2016-03; 4220204/B 2023-12; rechecked 2026-08-09,https://www.ti.com/lit/ds/symlink/tpl7407l.pdf,UDRV1/UDRV2 land/orientation and process-example boundary,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-SRC-004,Texas Instruments,ISO1212 and DBQ0016A example land,SLLSEY7G Rev G 2025-02; 4214846/A 2014-03; rechecked 2026-08-09,https://www.ti.com/lit/ds/symlink/iso1212.pdf,UFB1 land/orientation and process-example boundary,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-SRC-005,Vishay,VO618A option-7 land,83432 Rev 2.1 2025-01-22; rechecked 2026-08-09,https://www.vishay.com/docs/83432/vo618a.pdf,ISO1 exact copper/orientation and absent mask/paste guidance,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-SRC-006,Murata,GRM21 same-series land guidance,2025-01-09; rechecked 2026-08-09,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BC81H475KE11-01A.pdf,three conditional reflow lands,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-SRC-007,TDK,CGA3 land guidance,AC11010023; 2026-06; rechecked 2026-08-09,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/specification/mlccspec_automotive_general_en.pdf,two conditional reflow lands,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-SRC-008,Panasonic Industry,ERJ surface-mount resistor land pattern,DMM0000COL17; 2025-12-24; rechecked 2026-08-09,https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/DMM0000COL17.pdf,eight general-envelope lands,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-SRC-009,Vishay,MMA0204 recommended pads,28950 Rev 2022-07-12; rechecked 2026-08-09,https://www.vishay.com/doc/?28950=,two IPC-7351 reflow conditional lands,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-SRC-010,Vishay,CRCW1210 family and reflow pad,20035 Rev 2026-04-14; rechecked 2026-08-09,https://www.vishay.com/docs/20035/dcrcwe3.pdf,two conditional reflow lands,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-SRC-011,Harwin,S1751-XXR recommended land,DRG 02202 issue 10 2023-02-15; rechecked 2026-08-09,https://content.harwin.com/asset/e4e6a5e1-de35-4a2b-8b49-ff06562cba9d/DRG-02202-Technical-Drawing-Datasheet-S1751R-pdf.pdf,sixteen rectangular test-point copper lands,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-SRC-012,MacroFab,Capabilities,live page; accessed 2026-08-09,https://www.macrofab.com/capabilities,"public fabrication, assembly, process, inspection and consignment screen",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-SRC-013,MacroFab,Capabilities PDF,published 2025; accessed 2026-08-09,https://macrofab.com/assets/uploads/documents/macrofab-capabilities.pdf,formal public capability summary,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-SRC-014,NEOTech,Westborough Massachusetts facility,live page; accessed 2026-08-09,https://www.neotech.com/about-neo-tech/locations/westborough-massachusetts/,local quick-turn/NPI/high-mix PCBA screen,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-SRC-015,Screaming Circuits,Overview of Assembly Services,published 2025; accessed 2026-08-09,https://www.screamingcircuits.com/assets/pdfs/SC-ServicesOverview.pdf,"prototype MOQ, supply and nonstandard review screen",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-SRC-016,Cirtronics,New Hampshire PCBA manufacturing,live page; accessed 2026-08-09,https://www.cirtronics.com/pcb-assembly-manufacturer-new-hampshire/,regional robotics/high-mix/inspection screen,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
