net,terminals,domain,cross_channel_connection,robot_power_capability,warning
CH1_HI_IN,J1I.1; R1A.1,CH1 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH1_HI_MID,R1A.2; R1B.1,CH1 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH1_HI_OUT,R1B.2; J1O.1,CH1 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH1_LO_IN,J1I.2; R1C.1,CH1 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH1_LO_MID,R1C.2; R1D.1,CH1 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH1_LO_OUT,R1D.2; J1O.2,CH1 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH2_HI_IN,J2I.1; R2A.1,CH2 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH2_HI_MID,R2A.2; R2B.1,CH2 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH2_HI_OUT,R2B.2; J2O.1,CH2 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH2_LO_IN,J2I.2; R2C.1,CH2 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
