channel,connector,side,contact,polarity,signal,header,mating_plug,installed_harness_endpoint,warning
CH-AI-01,J1I,INPUT,1,HI/+,ACT_MAIN_SOURCE_12V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-01,J1I,INPUT,2,LO/-,ACT_MAIN_SOURCE_12V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-01,J1O,OUTPUT,1,HI/+,ACT_MAIN_SOURCE_12V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-01,J1O,OUTPUT,2,LO/-,ACT_MAIN_SOURCE_12V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-02,J2I,INPUT,1,HI/+,ACT_MAIN_SAFE_12V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-02,J2I,INPUT,2,LO/-,ACT_MAIN_SAFE_12V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-02,J2O,OUTPUT,1,HI/+,ACT_MAIN_SAFE_12V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-02,J2O,OUTPUT,2,LO/-,ACT_MAIN_SAFE_12V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-03,J3I,INPUT,1,HI/+,TTL_SELECTED_SAFE_9V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-03,J3I,INPUT,2,LO/-,TTL_SELECTED_SAFE_9V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-03,J3O,OUTPUT,1,HI/+,TTL_SELECTED_SAFE_9V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-03,J3O,OUTPUT,2,LO/-,TTL_SELECTED_SAFE_9V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-04,J4I,INPUT,1,HI/+,CTRL_SAFE_5V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-04,J4I,INPUT,2,LO/-,CTRL_SAFE_5V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-04,J4O,OUTPUT,1,HI/+,CTRL_SAFE_5V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-04,J4O,OUTPUT,2,LO/-,CTRL_SAFE_5V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-05,J5I,INPUT,1,HI/+,ESTOP_CH_A_24V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-05,J5I,INPUT,2,LO/-,ESTOP_CH_A_24V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-05,J5O,OUTPUT,1,HI/+,ESTOP_CH_A_24V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-05,J5O,OUTPUT,2,LO/-,ESTOP_CH_A_24V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-06,J6I,INPUT,1,HI/+,WATCHDOG_PERMIT_24V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-06,J6I,INPUT,2,LO/-,WATCHDOG_PERMIT_24V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-06,J6O,OUTPUT,1,HI/+,WATCHDOG_PERMIT_24V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-06,J6O,OUTPUT,2,LO/-,WATCHDOG_PERMIT_24V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-07,J7I,INPUT,1,HI/+,K1_DIAGNOSTIC_24V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-07,J7I,INPUT,2,LO/-,K1_DIAGNOSTIC_24V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-07,J7O,OUTPUT,1,HI/+,K1_DIAGNOSTIC_24V,Phoenix 1757242,Phoenix 1757019,SELECTION REQUIRED,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
