reference,item,manufacturer,candidate_order_code,quantity,footprint,selection_state,procurement_released,warning
J1I,ACT_MAIN_SOURCE_12V floating input,Phoenix Contact,1757242,1,"Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R1A,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R1B,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R1C,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R1D,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J1O,to ACT_MAIN_SOURCE_12V DAQ input,Phoenix Contact,1757242,1,"Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J2I,ACT_MAIN_SAFE_12V floating input,Phoenix Contact,1757242,1,"Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R2A,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R2B,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R2C,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R2D,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J2O,to ACT_MAIN_SAFE_12V DAQ input,Phoenix Contact,1757242,1,"Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J3I,TTL_SELECTED_SAFE_9V floating input,Phoenix Contact,1757242,1,"Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R3A,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R3B,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R3C,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R3D,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
