connection_id,channel,physical_boundary,method,connector_pinout_released,probe_protection_released,installed,warning
PC-01,CH-AI-01,source output diagnostic terminals,route through passive measurement panel J1I -> J1O; exact field and NI harnesses remain open,PANEL CONTACTS RELEASED; FIELD/DAQ ENDS OPEN,CURRENT-LIMITING DESIGN PRESENT; NOT PHYSICALLY VALIDATED,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PC-02,CH-AI-02,robot inlet after K1/K2,route through passive measurement panel J2I -> J2O; exact field and NI harnesses remain open,PANEL CONTACTS RELEASED; FIELD/DAQ ENDS OPEN,CURRENT-LIMITING DESIGN PRESENT; NOT PHYSICALLY VALIDATED,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PC-03,CH-AI-03,one selected regulated 9 V bus,route through passive measurement panel J3I -> J3O; exact field and NI harnesses remain open,PANEL CONTACTS RELEASED; FIELD/DAQ ENDS OPEN,CURRENT-LIMITING DESIGN PRESENT; NOT PHYSICALLY VALIDATED,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PC-04,CH-AI-04,5 V logic test point,route through passive measurement panel J4I -> J4O; exact field and NI harnesses remain open,PANEL CONTACTS RELEASED; FIELD/DAQ ENDS OPEN,CURRENT-LIMITING DESIGN PRESENT; NOT PHYSICALLY VALIDATED,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PC-05,CH-AI-05,E-stop A diagnostic node,route through passive measurement panel J5I -> J5O; exact field and NI harnesses remain open,PANEL CONTACTS RELEASED; FIELD/DAQ ENDS OPEN,CURRENT-LIMITING DESIGN PRESENT; NOT PHYSICALLY VALIDATED,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PC-06,CH-AI-06,watchdog permit diagnostic node,route through passive measurement panel J6I -> J6O; exact field and NI harnesses remain open,PANEL CONTACTS RELEASED; FIELD/DAQ ENDS OPEN,CURRENT-LIMITING DESIGN PRESENT; NOT PHYSICALLY VALIDATED,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PC-07,CH-AI-07,K1 coil or mirror diagnostic node,route through passive measurement panel J7I -> J7O; exact field and NI harnesses remain open,PANEL CONTACTS RELEASED; FIELD/DAQ ENDS OPEN,CURRENT-LIMITING DESIGN PRESENT; NOT PHYSICALLY VALIDATED,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PC-08,CH-AI-08,K2 coil or mirror diagnostic node,route through passive measurement panel J8I -> J8O; exact field and NI harnesses remain open,PANEL CONTACTS RELEASED; FIELD/DAQ ENDS OPEN,CURRENT-LIMITING DESIGN PRESENT; NOT PHYSICALLY VALIDATED,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PC-09,CH-I-01,single ACT_MAIN_SOURCE conductor,split core fully latched; arrow/polarity photographed; no two-conductor clamp,NO,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PC-10,CH-TC-01..04,four named surfaces,electrically insulated attachment and strain relief selection required,NO,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
