boundary_id,item,location,conductors_or_nets,e2_state,controlled_rule,closure_evidence,warning
E2GB-B-001,PSU2 factory adapter,EXTERNAL TO PROJECT ENCLOSURE,FACTORY AC L/N only,MAY BE ENERGIZED ONLY IN AN AUTHORIZED E2 RUN,Double-insulated/Class-II exact-model candidate; no project PE conductor enters through J24,"received unit, Q-NA blade, marks, condition and premises acceptance","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-B-002,J24 control-power inlet,PROJECT ELV BOUNDARY,SAFETY_24V_RAW / SAFETY_0V,E2 ENERGIZED DOMAIN,pins 1 and 3 only; pins 2 and 4 intentionally not connected,"received fit, polarity, retention, protection and load evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-B-003,PSU3 factory adapter,EXTERNAL TO PROJECT ENCLOSURE,factory Type-A AC to USB-C,MAY BE ENERGIZED ONLY IN AN AUTHORIZED E2 RUN,US family is UL/CUL 62368-1 investigated; no project mains or PE conductor enters through USB-C,"exact SKU, received marks/condition, retention and premises acceptance","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-B-004,PI1 compute input,PROJECT ELV BOUNDARY,COMPUTE_5V / COMPUTE_0V,E2 ENERGIZED DOMAIN,"no intentional project bond to SAFETY_0V, frame or PE",USB shell/DC-return continuity survey and installed isolation evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-B-005,PSA1/JA1 actuator source,OUTSIDE E2,FACTORY AC plus ACT_12V_RAW / ACT_0V_PE_BONDED,PHYSICALLY ABSENT; AC AND DC DISCONNECTED,Mean Well internal -V/FG relationship cannot enter E2,"absence inspection, capped/labelled interfaces and zero-voltage witness","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-B-006,actuator power network,OUTSIDE E2,all ACT_12V* and actuator-power plugs,DISCONNECTED AND ZERO VOLTS,no actuator may receive power during E2,point-to-point absence/isolation and zero-voltage records,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-B-007,SP1,PROJECT INTENTIONAL BOND PLACEHOLDER,two isolated intentionally-unconnected nets,DNP / PROHIBITED,no project-added actuator 0V-to-PE star,accepted ECAD/BOM/DNP inspection,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-B-008,JFRAME1,FRAME/SHIELD PLACEHOLDER,ROBOT_FRAME / CABLE_SHIELD_TERM,DNP FOR E2,"no inferred frame, shield, return or PE link",physical survey and later qualified bonding/EMC disposition,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-B-009,panel metalwork,ELV-ONLY E2 ENCLOSURE,"backplate, DIN rail, duct and exposed hardware",NO SAFETY CREDIT; NO INTENTIONAL BOND DEFINED,model assumes no mains conductor/source inside and actuator source absent,"material inventory, accidental-continuity survey, insulation/fault review and qualified acceptance","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-B-010,factory adapters and cords,OUTSIDE PROJECT ENCLOSURE,unmodified manufacturer assemblies,NO INTERNAL MAINS WORK,"adapters are not enclosed, opened, rewired or panel-mounted","exact placement, strain relief, trip/ingress protection and site review","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
