inspection_id,subject,method,acceptance,state,result,evidence_uri,warning
E2GB-I-001,"verify exact PSU2 model, Q-NA blade, safety marks and intact case",visual/receiving record,exact identity and acceptable condition,UNEXECUTED,BLANK,BLANK,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-I-002,"verify J24/PSU2 cord fit, pin identity and polarity",de-energized continuity/polarity method approved by reviewer,pins 1/3 exact; 2/4 open,UNEXECUTED,BLANK,BLANK,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-I-003,"verify exact PSU3 US SKU, marks and intact case/cable",visual/receiving record,exact identity and acceptable condition,UNEXECUTED,BLANK,BLANK,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-I-004,verify PSA1 and actuator AC cord physically absent,independent visual inspection,absent; interfaces capped and labelled,UNEXECUTED,BLANK,BLANK,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-I-005,verify JA1 and every actuator-power plug disconnected,point-to-point inspection,all disconnected and protected,UNEXECUTED,BLANK,BLANK,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-I-006,verify SP1 not populated,ECAD/BOM/physical inspection,DNP with no conductive bridge,UNEXECUTED,BLANK,BLANK,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-I-007,verify JFRAME1 not populated for E2,ECAD/BOM/physical inspection,DNP with no frame/shield link,UNEXECUTED,BLANK,BLANK,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-I-008,survey SAFETY_0V to COMPUTE_0V,reviewer-approved de-energized resistance/continuity method,numeric limit SELECTION REQUIRED,UNEXECUTED,BLANK,BLANK,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-I-009,survey each ELV return to panel metalwork/frame/shields,reviewer-approved de-energized resistance/continuity method,numeric limit SELECTION REQUIRED,UNEXECUTED,BLANK,BLANK,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-I-010,survey USB shells to COMPUTE_0V and metalwork,four-wire/continuity method as accepted,relationship recorded; no assumption,UNEXECUTED,BLANK,BLANK,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-I-011,confirm no mains conductor or adapter is inside enclosure,independent visual inspection,none present,UNEXECUTED,BLANK,BLANK,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-I-012,confirm actuator rails remain at zero throughout E2,independent meter channels with pre/post checks,numeric tolerance and instrument SELECTION REQUIRED,UNEXECUTED,BLANK,BLANK,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-I-013,confirm premises/receptacle/branch/GFCI facts,signed Boston site-input record,qualified reviewer acceptance,UNEXECUTED,BLANK,BLANK,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-I-014,perform control-domain first-fault review,qualified electrical/functional-safety review,accepted disposition tied to exact configuration,UNEXECUTED,BLANK,BLANK,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-I-015,authorize or reject the written E2 run,signed EG-022 authorization,all named prerequisites accepted and unexpired,UNEXECUTED,BLANK,BLANK,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
