endpoint_id,sheet,reference,terminal,pin_name,net,p115_state,p118_state,comparison,warning
E2GB-P-001,01_external_sources.kicad_sch,PSA1,C6P-1,+VO 1,ACT_12V_RAW,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-002,01_external_sources.kicad_sch,PSA1,C6P-2,+VO 2,ACT_12V_RAW,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-003,01_external_sources.kicad_sch,PSA1,C6P-3,+VO 3,ACT_12V_RAW,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-004,01_external_sources.kicad_sch,PSA1,C6P-4,-VO 1,ACT_0V_PE_BONDED,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-005,01_external_sources.kicad_sch,PSA1,C6P-5,-VO 2,ACT_0V_PE_BONDED,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-006,01_external_sources.kicad_sch,PSA1,C6P-6,-VO 3,ACT_0V_PE_BONDED,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-007,01_external_sources.kicad_sch,PSA1,C14-L,FACTORY AC L,FACTORY_AC_L_ACT,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-008,01_external_sources.kicad_sch,PSA1,C14-N,FACTORY AC N,FACTORY_AC_N_ACT,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-009,01_external_sources.kicad_sch,PSA1,C14-PE,FACTORY PE / INTERNAL -V BOND,ACT_0V_PE_BONDED,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-010,01_external_sources.kicad_sch,PSU2,Q-NA-L,FACTORY AC LINE BLADE,FACTORY_AC_L_CTL,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-011,01_external_sources.kicad_sch,PSU2,Q-NA-N,FACTORY AC NEUTRAL BLADE,FACTORY_AC_N_CTL,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-012,01_external_sources.kicad_sch,PSU2,YL4-1,+24V,SAFETY_24V_RAW,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-013,01_external_sources.kicad_sch,PSU2,YL4-2,N/C,INTENTIONALLY_NOT_CONNECTED_PSU2_YL4_2,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
