target_kind,target_id,source_sha256,size_min_mm,dist_max_mm,warning
EXACT_FAILED_POCKET_VOLUME,C07-PE-EAST-STRAIGHT,7b1eb3f4a8371c9dd5727bbf9178172f0962d4d9b92ede04a9379c5872439fc5,0.18,0.75,"PRELIMINARY - FRONTAL TETRAHEDRALIZATION PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EXACT_FAILED_POCKET_VOLUME,C07-PE-NORTH-STRAIGHT,7b1eb3f4a8371c9dd5727bbf9178172f0962d4d9b92ede04a9379c5872439fc5,0.18,0.75,"PRELIMINARY - FRONTAL TETRAHEDRALIZATION PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EXACT_FAILED_POCKET_VOLUME,C07-PE-SOUTH-STRAIGHT,7b1eb3f4a8371c9dd5727bbf9178172f0962d4d9b92ede04a9379c5872439fc5,0.18,0.75,"PRELIMINARY - FRONTAL TETRAHEDRALIZATION PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EXACT_FAILED_POCKET_VOLUME,C07-PE-WEST-STRAIGHT,7b1eb3f4a8371c9dd5727bbf9178172f0962d4d9b92ede04a9379c5872439fc5,0.18,0.75,"PRELIMINARY - FRONTAL TETRAHEDRALIZATION PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SYMMETRY_CLOSED_EXACT_CYLINDER_FACE,a97edf5a94868d8091b2c9b62604036a8be258e42d13a3b82c0fbcb9a27ea4b0,3031a03e8d8eda43afb0a32ccfcb260c76add0204131c689a233bdb98f49f120,0.35,2.0,"PRELIMINARY - FRONTAL TETRAHEDRALIZATION PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SYMMETRY_CLOSED_EXACT_CYLINDER_FACE,251c223a0dbe278abebbeffb1d1a2c4b7e0facaf46cc1c30842899924ba87176,3031a03e8d8eda43afb0a32ccfcb260c76add0204131c689a233bdb98f49f120,0.35,2.0,"PRELIMINARY - FRONTAL TETRAHEDRALIZATION PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SYMMETRY_CLOSED_EXACT_CYLINDER_FACE,9f9705cbb2c0c6752624d37d98f10ed2a799c76c148c83a7ce4b089e5a9aae4a,3031a03e8d8eda43afb0a32ccfcb260c76add0204131c689a233bdb98f49f120,0.35,2.0,"PRELIMINARY - FRONTAL TETRAHEDRALIZATION PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SYMMETRY_CLOSED_EXACT_CYLINDER_FACE,3fc309ab87257dd774a54e1ad4f2dfc60421c9fc82e5da3ecaa69d70b8efdce8,3031a03e8d8eda43afb0a32ccfcb260c76add0204131c689a233bdb98f49f120,0.35,2.0,"PRELIMINARY - FRONTAL TETRAHEDRALIZATION PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SYMMETRY_CLOSED_EXACT_CYLINDER_FACE,b526fc31837e1eed87abf547e967381f66294d934649748339e042b4bbf9d6fe,3031a03e8d8eda43afb0a32ccfcb260c76add0204131c689a233bdb98f49f120,0.35,2.0,"PRELIMINARY - FRONTAL TETRAHEDRALIZATION PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SYMMETRY_CLOSED_EXACT_CYLINDER_FACE,a2a47babf632b24bac70c67b771350e81c83202b8bdc0b621dc648300084f341,3031a03e8d8eda43afb0a32ccfcb260c76add0204131c689a233bdb98f49f120,0.35,2.0,"PRELIMINARY - FRONTAL TETRAHEDRALIZATION PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
