hold_id,topic,state,evidence_uri,warning
OCH-HOLD-001,"received R202/R204 terminal identity, orientation, soldering and damage inspection",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-HOLD-002,received Pi/case/cooler/bracket/R204 stack transform and exact harness endpoints,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-HOLD-003,measured physical route and exact cut length for W14001-W14006,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-HOLD-004,"service loop, termination allowance, tolerance, labels and strain relief",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-HOLD-005,"usable WD2 area, existing occupancy, packing, cover fit and domain separation",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-HOLD-006,15 mm stationary bend radius and transition support in the installed route,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-HOLD-007,"qualified direct-strip process, calibrated strip gage and torque driver",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-HOLD-008,"strand damage, exposed copper, insertion, torque, pull and post-torque records at both ends",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-HOLD-009,manufacturer DCR plus selected length voltage-drop/return-shift calculation,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-HOLD-010,"Raspberry Pi 3V3 external-load, GPIO threshold, pull, startup and brownout acceptance",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-HOLD-011,open/short/cross-short/return-loss/source-loss and back-power fault evidence,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-HOLD-012,"continuity, polarity, isolation, crosstalk, EMC, thermal and timing evidence",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-HOLD-013,qualified electrical/compute/panel review and separate written work authorization,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
