acceptance_id,criterion,execution_state,result,evidence_uri,approver,warning
R277-ACC-01,"Current converter quote binds Rogers 2300327, 3M 467MP, PET-side lamination, 40 x 12 mm R1.5 coupons, tolerances, lot traceability and CoC",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-ACC-02,3M/Rogers or qualified materials reviewer accepts the aluminum-467MP-PET/PORON application and surface-preparation process,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-ACC-03,Received laminated-stack thickness is mapped with a qualified low-force method and dependent pocket depth is released lot-by-lot,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-ACC-04,Machine supplier accepts R2 pocket DFM and reports as-built plan/depth/finish without using 0.520 mm as production depth,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-ACC-05,"Installed protrusion candidate band 0.100..0.200 mm is accepted against stopping, guard, pinch and contact requirements",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-ACC-06,"First article passes pocket, protrusion, retention and continuous metal-backup inspections",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-ACC-07,"Pad-absent, one-pad, bottom-out, rebound, migration and jam fault tests pass defined limits",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-ACC-08,"Dynamic force-stroke, current/torque decay, stopping time/angle and energy integration pass at accepted approach/fault speeds",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-ACC-09,P0.13 C06/C07 full joined load path and local pocket/contact stresses pass qualified nonlinear analysis and physical correlation,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-ACC-10,"Qualified release and separate procurement, machining, assembly and powered-work authorizations are signed",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
