hold_id,scope,state,closure_evidence,warning
H-01,separate written authority for the exact zero-energy session scope,OPEN,configuration-bound evidence plus named qualified signoff,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-02,received article identities and dimensional-surrogate limitations,OPEN,configuration-bound evidence plus named qualified signoff,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-03,"selected instruments, methods, calibration and uncertainty budgets",OPEN,configuration-bound evidence plus named qualified signoff,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-04,two-axis print-scale verification before any mockup use,OPEN,configuration-bound evidence plus named qualified signoff,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-05,complete raw measurement and photo set with immutable evidence paths,OPEN,configuration-bound evidence plus named qualified signoff,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-06,all deviations contained and dispositioned against approved limits,OPEN,configuration-bound evidence plus named qualified signoff,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-07,received connector/wire sweeps with 20 mm bend-radius evidence,OPEN,configuration-bound evidence plus named qualified signoff,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-08,front/rear/closed-cover/service clearances with no forced fit,OPEN,configuration-bound evidence plus named qualified signoff,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-09,qualified mechanical and electrical/enclosure review,OPEN,configuration-bound evidence plus named qualified signoff,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H-10,"separate successor authorization before marking, drilling or assembly",OPEN,configuration-bound evidence plus named qualified signoff,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
