stop_id,condition,mandatory_action,state,warning
STOP-01,"any electrical source, battery, charger or powered conductor is present",stop; isolate and remove source; this session is zero-energy only,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STOP-02,"panel or enclosure would need marking, punching, drilling, cutting, adhesive or permanent fastener",stop; no material modification is authorized,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STOP-03,printed scale bars are not reconciled to 100 mm in both axes,stop; reject print and do not use its geometry,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STOP-04,article identity or revision is missing or differs from the controlled candidate,stop; quarantine evidence and open deviation,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STOP-05,"instrument identity, calibration or uncertainty is absent",stop affected measurement; record no accepted result,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STOP-06,a surrogate is treated as a received PCBA or connector,stop; label surrogate and limit evidence to its proven dimensions,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STOP-07,"any part must be forced, bent, clamped or loaded to fit",stop; photograph interference without forcing,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STOP-08,"cover closure contacts or loads a gauge, board, connector or wire",stop; do not latch cover; record interference,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STOP-09,20 mm wire bend radius cannot be maintained,stop that route; record deviation; do not cut production wire,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STOP-10,"service access requires removing a credited guard, duct, terminal or safety component",stop; record inaccessible condition,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STOP-11,any raw value is edited into a pass/accept statement without an approved limit,stop review; raw evidence only,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STOP-12,"scope, supervision or authorization is unclear",stop session and obtain written direction,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
