hold_id,hold,state,evidence,warning
R243-H01,Qualified acceptance of the two-ferrule application at Phoenix 3273114/2967060 and Pilz 750104 terminals,OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R243-H02,Received Belden/ferrule lot dimensional fit and damage-free strip/crimp coupons,OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R243-H03,Exact compatible driver bit for Pilz 750104 screw terminals and access proof,OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R243-H04,Exact compatible driver bit for Phoenix 2967060 screw terminals and access proof,OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R243-H05,"Current calibration and as-found/as-left record for TSD-M 1,2NM candidate",OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R243-H06,CRIMPFOX 6 condition/capability record and qualified operator process,OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R243-H07,WIREFOX 10 blade/setting verification and strand-damage inspection,OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R243-H08,"Calibrated pull fixture, grips, uncertainty and qualified coupon sample plan",OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R243-H09,Executed 40 N / 60 s force-time records for both ferrule formats,OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R243-H10,Installed fourteen-endpoint torque/retention/photographic/continuity/isolation evidence,OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R243-H11,"Qualified Boston/US conductor, ferrule-collar, marker and terminal-block color disposition",OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R243-H12,Formal P1.21 acceptance and signed work authorization after every applicable gate closes,OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
