inspection_id,object,required_record,state,result,evidence_uri,warning
INS-01,XD24:02,"received identity, strip dimension, ferrule identity/orientation, crimp inspection, insertion, torque if applicable, retention, wire number and photograph",NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INS-02,SR1:A1,"received identity, strip dimension, ferrule identity/orientation, crimp inspection, insertion, torque if applicable, retention, wire number and photograph",NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INS-03,XD24:06,"received identity, strip dimension, ferrule identity/orientation, crimp inspection, insertion, torque if applicable, retention, wire number and photograph",NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INS-04,KWD1:A1,"received identity, strip dimension, ferrule identity/orientation, crimp inspection, insertion, torque if applicable, retention, wire number and photograph",NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INS-05,XD24:07,"received identity, strip dimension, ferrule identity/orientation, crimp inspection, insertion, torque if applicable, retention, wire number and photograph",NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INS-06,KWD1:11,"received identity, strip dimension, ferrule identity/orientation, crimp inspection, insertion, torque if applicable, retention, wire number and photograph",NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INS-07,XD24:09,"received identity, strip dimension, ferrule identity/orientation, crimp inspection, insertion, torque if applicable, retention, wire number and photograph",NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INS-08,KWD2:A1,"received identity, strip dimension, ferrule identity/orientation, crimp inspection, insertion, torque if applicable, retention, wire number and photograph",NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INS-09,XD24:10,"received identity, strip dimension, ferrule identity/orientation, crimp inspection, insertion, torque if applicable, retention, wire number and photograph",NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INS-10,KWD2:21,"received identity, strip dimension, ferrule identity/orientation, crimp inspection, insertion, torque if applicable, retention, wire number and photograph",NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INS-11,KWD1:14,"received identity, strip dimension, ferrule identity/orientation, crimp inspection, insertion, torque if applicable, retention, wire number and photograph",NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INS-12,KWD2:11,"received identity, strip dimension, ferrule identity/orientation, crimp inspection, insertion, torque if applicable, retention, wire number and photograph",NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INS-13,KWD2:14,"received identity, strip dimension, ferrule identity/orientation, crimp inspection, insertion, torque if applicable, retention, wire number and photograph",NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INS-14,SRA1:A1,"received identity, strip dimension, ferrule identity/orientation, crimp inspection, insertion, torque if applicable, retention, wire number and photograph",NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INS-15,3200043 sacrificial coupon 1,"strip measurement, pre/post photo, force-time trace to 40 N for 60 s and no-damage result",NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INS-16,3200043 sacrificial coupon 2,"strip measurement, pre/post photo, force-time trace to 40 N for 60 s and no-damage result",NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INS-17,3200043 sacrificial coupon 3,"strip measurement, pre/post photo, force-time trace to 40 N for 60 s and no-damage result",NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INS-18,3200263 sacrificial coupon 1,"strip measurement, pre/post photo, force-time trace to 40 N for 60 s and no-damage result",NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INS-19,3200263 sacrificial coupon 2,"strip measurement, pre/post photo, force-time trace to 40 N for 60 s and no-damage result",NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INS-20,3200263 sacrificial coupon 3,"strip measurement, pre/post photo, force-time trace to 40 N for 60 s and no-damage result",NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
