screen_id,subject,input_or_rule,result,status,required_evidence,warning
TS-001,Backplate boundary,"P1868 nominal 377.825 x 428.625 mm; every allocated rectangle must remain within boundary",All current envelopes remain within nominal boundary,ANALYTICAL SCREEN ONLY,"received dimensions; insert and edge keepouts; cover closure test",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-002,Top rail width,"SR1/SRA1/KWD1/KWD2/K1/K2 allocations span x=54..308 mm on 270 mm rail",254 mm occupied within 270 mm nominal allocation,ANALYTICAL SCREEN ONLY,"received widths; end clearance; terminal access; rail end hardware; heat",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-003,PCB planar clearance,"WDPCB1 x=54..214 y=230..330; INJ1 x=224..324 y=230..290",10 mm nominal planar gap,ANALYTICAL SCREEN ONLY,"received board outlines; standoff heads; connector overhang; bend radius; creepage/contamination review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-004,Selection reserve,"x=54..324 y=375..418 reserved for JC1/FSR1/FSR2/F0/F1/F2/F3/SD1",270 x 43 mm reserved but not proven sufficient,FAIL-CLOSED HOLD,"exact selected components and terminals; conductor bends; touch protection; service access; revised fit model",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-005,Depth,"enclosure outside depth 257.3 mm catalog nominal; internal usable depth and door-device stack not established",No depth-fit conclusion,FAIL-CLOSED HOLD,"received enclosure/door/backplate stack; rail/device/PCB/standoff heights; cable bends; closed-cover inspection",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-006,Heat,"loss data and simultaneous duty for contactors relays supplies boards terminals and conductors are incomplete",No enclosure temperature-rise conclusion,FAIL-CLOSED HOLD,"manufacturer loss data; ambient; duty; installed wiring; worst-case powered soak and calibrated temperature survey",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-007,Duct fill,"wire gauges insulation ODs bend radii separation rules and spare capacity are unresolved",No duct-fill conclusion,FAIL-CLOSED HOLD,"released conductor schedule; installed lengths; fill calculation; cover-fit and thermal inspection",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-008,Door controls,"four 22 mm-family devices allocated at x=55/155/255/355 mm y=85 mm",Nominal centers fit 420 mm catalog-width face,ANALYTICAL SCREEN ONLY,"received cutout templates; rear-body envelopes; cover ribs/inserts; wrench access; flex; ergonomic review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-009,Enclosure rating,"PJU series component ratings do not prove the completed drilled assembly rating",No completed-assembly Type/IP claim,FAIL-CLOSED HOLD,"selected listed cable entries/operators; installation per instructions; inspection and qualified enclosure-system disposition",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-010,Bonding,"fiberglass shell contains a steel backplate DIN rails and interfaces to machine frame/shields",No PE/DC0V/bonding closure,FAIL-CLOSED HOLD,"qualified fault-path and bonding design; exact hardware; coating preparation; torque; calibrated continuity/impedance evidence",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
