source_id,provider,title,url,document_revision_or_date,access_date,verified_claim_boundary,project_acceptance_effect,warning
FAB-SRC-01,Kontrast4D,Official capability specification,https://kontrast4d.com/,K4D-CAP-001 Rev 1; updated 2026-05,2026-08-11,6061; 3/4/5-axis CNC; numerical tolerance bands; Mitutoyo Mistar 555 CMM; FAI reports on request,CAPABILITY SCREEN ONLY - NO PROVIDER OR APPLICATION ACCEPTANCE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-SRC-02,Protolabs,CNC machining capability,https://www.protolabs.com/services/cnc-machining/,live official page; formal revision unstated,2026-08-11,6061-T651; 3-axis/indexed 5-axis; aluminum envelope and technical-drawing tolerance route,CAPABILITY SCREEN ONLY - NO PROVIDER OR APPLICATION ACCEPTANCE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-SRC-03,Protolabs,CNC quality and inspection,https://www.protolabs.com/services/cnc-machining/quality/,live official page; formal revision unstated,2026-08-11,"FAI, dimensional reports, CMM options, CoC and material certifications are available subject to site capability",CAPABILITY SCREEN ONLY - NO PROVIDER OR APPLICATION ACCEPTANCE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-SRC-04,Xometry,CNC material categories,https://community.xometry.com/kb/articles/637-materials-by-category,live official knowledge-base page,2026-08-11,6061-T6x best available is default; custom material can be submitted for expert review,CAPABILITY SCREEN ONLY - NO PROVIDER OR APPLICATION ACCEPTANCE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-SRC-05,Xometry,CNC inspection options,https://community.xometry.com/kb/articles/673-cnc-machining-sheet-fabrication-inspection-options,live official knowledge-base page,2026-08-11,"Formal, CMM, FAIR, source, build-and-hold and custom inspections are described",CAPABILITY SCREEN ONLY - NO PROVIDER OR APPLICATION ACCEPTANCE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-SRC-06,Xometry,Material traceability,https://community.xometry.com/kb/articles/856-what-is-material-traceability,live official knowledge-base page,2026-08-11,Traceability must be selected during quoting and includes heat-lot and ownership-chain records,CAPABILITY SCREEN ONLY - NO PROVIDER OR APPLICATION ACCEPTANCE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-SRC-07,Artisans Asylum,Machine Shop,https://www.artisansasylum.com/shops/machine,live official page; formal revision unstated,2026-08-11,"Aluminum manual/CNC machining, Bridgeport CNC mill, membership/day-pass access and tool testing",CAPABILITY SCREEN ONLY - NO PROVIDER OR APPLICATION ACCEPTANCE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-SRC-08,Artisans Asylum,M3X CNC mill,https://wiki.artisansasylum.com/wiki/M3X_CNC_Milling_Machine,official wiki page last updated 2025-01-21,2026-08-11,Three-axis CNC mill; access through CNC class; project-specific capability not established,CAPABILITY SCREEN ONLY - NO PROVIDER OR APPLICATION ACCEPTANCE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-SRC-09,Boston Digital Fabrication,CNC machining and turning,https://bostondigitalfab.com/,live official page; formal revision unstated,2026-08-11,Three-axis CNC knee mill and lathe for small-to-medium quantity custom milled parts,CAPABILITY SCREEN ONLY - NO PROVIDER OR APPLICATION ACCEPTANCE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-SRC-10,Boston Public Library,Current technology resources,https://www.bpl.org/faq/technology/,live official page accessed 2026-08-11,2026-08-11,MakerBot 3D printing is listed; no suitable metal CNC route is documented,CAPABILITY SCREEN ONLY - NO PROVIDER OR APPLICATION ACCEPTANCE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
