scope_id,phase,task,required_deliverable,provider_accepted,executed,accepted_by_project,warning
FSR-SOW-A01,A pre-design,ISO 12100 lifecycle/mode hazard review and PLr/SIL selection for each credited function,Signed risk assessment and allocation,FALSE,FALSE,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-SOW-A02,A pre-design,"Review SF-01, SF-03, DF-01 zero-credit and PG-01 physical-protection boundaries",Redlined and signed SRS,FALSE,FALSE,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-SOW-A03,A pre-design,Review P1.15 core electrical source; treat P1.17 as a non-authoritative observation view,Configuration-bound electrical review,FALSE,FALSE,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-SOW-A04,A pre-design,"Assess category/architecture, MTTFd/B10d, DCavg, CCF, systematic measures and fault exclusions",Editable calculation plus signed result,FALSE,FALSE,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-SOW-A05,A pre-design,Review the 200 ms / 2.000 degree setup candidate and the prohibition on 30 degree/s automatic motion,Accepted limit or explicit replacement with rationale,FALSE,FALSE,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-SOW-B01,B before E2,"Approve the disconnected-load E2 validation plan, measurement method, fault fixtures and reset/restart tests",Signed pre-test review; no actuator source connected,FALSE,FALSE,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-SOW-B02,B before E2,"Review exact received control hardware, wiring inspection and evidence-parity forms",Phase-specific disposition; work authority remains separate,FALSE,FALSE,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-SOW-C01,C before E4,"Review received final elements, written DC application, guard/stops, loaded rail decay and physical traces",Signed readiness or blocker report,FALSE,FALSE,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-SOW-C02,C before E4,Validate each achieved safety function against the selected target using analysis and physical fault injection,Signed ISO 13849-2 validation report,FALSE,FALSE,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-SOW-C03,C before E4,"Document residual risk, deviations, change impact and exact released configuration",Signed final disposition; no general product certification implied,FALSE,FALSE,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
