question_id,question,response,response_evidence,accepted,warning
FSR-Q-01,"Will you accept a small, noncommercial, adult-only guarded robot prototype located in Boston, Massachusetts?",NOT SENT,NOT RECEIVED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-Q-02,"Which named people would perform ISO 12100 risk assessment, PLr/SIL allocation and ISO 13849-2 validation?",NOT SENT,NOT RECEIVED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-Q-03,Do you support ISO 13849-1:2023 and ISO 13849-2:2012 for this machinery scope?,NOT SENT,NOT RECEIVED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-Q-04,Can you provide written competence records and disclose assessor/signatory roles?,NOT SENT,NOT RECEIVED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-Q-05,"Can you provide a signed independence/conflict disposition, including component sales or prior design assistance?",NOT SENT,NOT RECEIVED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-Q-06,"Which work requires an on-site Boston visit, and which work can be reviewed remotely?",NOT SENT,NOT RECEIVED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-Q-07,"Will you return editable PL calculations, signed reports, raw test evidence and an issue-closure register?",NOT SENT,NOT RECEIVED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-Q-08,"Can the work be contracted in pre-design, pre-E2 and pre-E4 phases without implying authorization between phases?",NOT SENT,NOT RECEIVED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-Q-09,"What additional configuration, hazard, hardware or test evidence is required before you can quote or accept scope?",NOT SENT,NOT RECEIVED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-Q-10,"What commercial, confidentiality and file-transfer process applies before any project files are transmitted?",NOT SENT,NOT RECEIVED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
