field_id,field,value,review_state,project_acceptance,warning
FSR-DEC-01,reviewer legal name,SELECTION REQUIRED,NOT EXECUTED,NOT ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-DEC-02,employer and role,SELECTION REQUIRED,NOT EXECUTED,NOT ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-DEC-03,relevant competence evidence,SELECTION REQUIRED,NOT EXECUTED,NOT ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-DEC-04,standards and revisions controlled,SELECTION REQUIRED,NOT EXECUTED,NOT ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-DEC-05,prior design or sales involvement,SELECTION REQUIRED,NOT EXECUTED,NOT ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-DEC-06,component/vendor conflicts,SELECTION REQUIRED,NOT EXECUTED,NOT ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-DEC-07,financial conflicts,SELECTION REQUIRED,NOT EXECUTED,NOT ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-DEC-08,organizational independence measures,SELECTION REQUIRED,NOT EXECUTED,NOT ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-DEC-09,scope accepted,SELECTION REQUIRED,NOT EXECUTED,NOT ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-DEC-10,limitations and exclusions,SELECTION REQUIRED,NOT EXECUTED,NOT ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-DEC-11,signature,SELECTION REQUIRED,NOT EXECUTED,NOT ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-DEC-12,signature date,SELECTION REQUIRED,NOT EXECUTED,NOT ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-DEC-13,valid-until/change trigger,SELECTION REQUIRED,NOT EXECUTED,NOT ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
