hold_id,topic,state,evidence_uri,warning
OCP-HOLD-001,Pi 5 SC1112 physical pin 17 continuous/inrush/ambient load approval,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-HOLD-002,Pi 5/RP1 GPIO22-25 VIH/VIL/leakage/clamp/injection limits,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-HOLD-003,RSO1-RSO4 value/fault strategy revision keeping shorts within recommended operation,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-HOLD-004,recalculated high/low margins after RSO revision and exact cable DCR/length,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-HOLD-005,OFF/STANDBY/WARM_STANDBY/ramp power-state leakage and no-backfeed evidence,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-HOLD-006,received Pi and R202/R204 identities plus exact board revisions,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-HOLD-007,"3V3 rail droop, ripple, inrush and brownout traces at temperature",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-HOLD-008,"GPIO startup pull, ownership and stable-readback timing on the released image",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-HOLD-009,open/short/cross-short/source-loss/return-loss current and response evidence,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-HOLD-010,"isolation, EMC, ESD and cable transient evidence on assembled hardware",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-HOLD-011,qualified electrical/compute application review,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-HOLD-012,separate written authorization for any connection or powered test,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
