test_id,test,procedure,instrument,execution_state,result,evidence_uri,approver,warning
OCP-ACC-001,received PI1/R202/R204 identity and revision record,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-ACC-002,unpowered topology continuity and isolation,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-ACC-003,Pi OFF plus field OFF leakage,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-ACC-004,Pi OFF/STANDBY plus field ON back-power voltage/current,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-ACC-005,Pi ACTIVE plus field OFF four-low readback,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-ACC-006,Pi ACTIVE plus field ON four-channel truth table,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-ACC-007,3V3 steady load/droop/ripple,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-ACC-008,3V3 startup inrush and ramp,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-ACC-009,Pi brownout/shutdown/restart trace,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-ACC-010,each signal open fault,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-ACC-011,each signal short-to-return fault,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-ACC-012,each signal short-to-3V3 fault,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-ACC-013,signal cross-short fault,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCP-ACC-014,qualified review and separate test authorization,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
