wire_id,net,from_reference,from_terminal,to_reference,to_terminal,from_legacy_endpoint,to_legacy_endpoint,conductor_family_candidate,gauge_candidate,exact_color_order_code,cut_length_mm,termination_from,termination_to,route_zone,candidate_state,release_state,warning
P2P-001,ARM_AFTER_S2,S2,TBD-A2,K1,21,W3021,W4003,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,DOOR LOOM / SAFETY / TOP RAIL / EDM,NO DYNAMIC-FLEX CANDIDATE,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-002,EDM_K1_OUT,K1,22,K2,21,W4005,W4009,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / EDM,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-003,K1_STATUS,K1,14,XT1,XT1-05,W4006,W9010,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,LOWER TERMINAL / STATUS / TOP RAIL / STATUS,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-004,K2_STATUS,K2,14,XT1,XT1-06,W4012,W9011,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,LOWER TERMINAL / STATUS / TOP RAIL / STATUS,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-005,SR1_A1_WD_GATED,SR1,A1,KWD2,14,W2005,W3026,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / DIAGNOSTIC SUPPLY GATE - SEGREGATE FROM S0/SR1 INPUT RETURNS / TOP RAIL / DIAGNOSTIC-GATED SR1 SUPPLY - SEGREGATE FROM INPUT RETURNS,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-006,SR1_S11,S0,R-1,SR1,S11,W2001,W2007,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,DOOR LOOM / SAFETY / TOP RAIL / SAFETY,NO DYNAMIC-FLEX CANDIDATE,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-007,SR1_S21,S0,L-1,SR1,S21,W2002,W2009,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,DOOR LOOM / SAFETY / TOP RAIL / SAFETY,NO DYNAMIC-FLEX CANDIDATE,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-008,SR1_S22,S0,L-2,SR1,S22,W2004,W2010,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,DOOR LOOM / SAFETY / TOP RAIL / SAFETY,NO DYNAMIC-FLEX CANDIDATE,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-009,SR1_START_RETURN,SR1,S34,S1,TBD-R2,W2011,W2019,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,DOOR LOOM / SAFETY / TOP RAIL / SAFETY,NO DYNAMIC-FLEX CANDIDATE,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-010,SRA1_S11,SR1,13,SRA1,S11,W2012,W3003,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
