hold_id,subject,current_state,closure_evidence,accepted,warning
P2P-H-001,configuration promotion,P1.18 is a candidate and is not the accepted system ECAD,Independent ECAD/electrical review and formal configuration disposition,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-H-002,distribution application,XD24/XD0 catalog identities do not establish Project Button loading or protection,"Fault/inrush/current totals, protection coordination, temperature and qualified application review",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-H-003,door loom,Ten moving-door endpoints have no cable candidate,"Exact dynamic-flex cable, bend/torsion/abrasion/separation/cycle-life evidence",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-H-004,wire identities,Every exact color/order code remains open,Accepted color convention and exact current order codes,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-H-005,cut list and routing,Every cut length and detailed route remains open,"Received enclosure/door geometry, route measurement, service loops and duct allocation",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-H-006,termination process,Every end preparation remains open,"Direct/ferrule/lug selection, tool/die, strip, torque, inspection and pull test",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-H-007,electrical sizing,"DCR, voltage drop, ampacity, bundling and duct fill are unclosed","Lengths, DCR/temperature basis, currents, ambient, bundle, jurisdiction and calculation",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-H-008,physical placement,Five new nodes have no accepted rail coordinate or access proof,"Updated panel layout, bend/access/cover/marker fit and received metrology",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-H-009,received identity,All terminal and operator identities remain unreceived,"Receiving, terminal markings, continuity, polarity and accessory reconciliation",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-H-010,installed verification and release,"No conductor has been cut, installed or tested","Point-to-point, pull, label, torque, separation, continuity, polarity, isolation, thermal/fault tests and signed review",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
