sequence_id,axis_id,transmission_scenario,control_limit,control_unit,maximum_abs_control,maximum_abs_unclipped_command,maximum_tracking_error,rms_tracking_error,tracking_error_unit,saturation_fraction,baseline_saturation_fraction,absolute_mechanical_work_j,screen_state,authority,warning
WS-L01,HEAD_PAN,BASELINE RATIO RETAINED,0.795455,Nm CURRENT-LIMITED LINEAR ENDPOINT; NOT CONTINUOUS RATING,0.021207,0.021207,0.003064,0.000358,deg,0.000000000,0.000000000,0.000217293,PASS BOUNDED NUMERICAL SCREEN,NO HARDWARE CONTROL OR MOTION AUTHORITY,"PRELIMINARY - NUMERICAL HIP-REDUCTION SUCCESSOR ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
WS-L01,HEAD_TILT,BASELINE RATIO RETAINED,0.795455,Nm CURRENT-LIMITED LINEAR ENDPOINT; NOT CONTINUOUS RATING,0.057498,0.057498,0.001441,0.000261,deg,0.000000000,0.000000000,0.000604604,PASS BOUNDED NUMERICAL SCREEN,NO HARDWARE CONTROL OR MOTION AUTHORITY,"PRELIMINARY - NUMERICAL HIP-REDUCTION SUCCESSOR ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
WS-L01,L_ANKLE_PITCH,BASELINE RATIO RETAINED,7.571049,Nm CURRENT-LIMITED LINEAR ENDPOINT; NOT CONTINUOUS RATING,7.571049,15.310961,0.753392,0.410503,deg,0.533855624,0.476590188,28.034295353,FAIL BOUNDED NUMERICAL SCREEN,NO HARDWARE CONTROL OR MOTION AUTHORITY,"PRELIMINARY - NUMERICAL HIP-REDUCTION SUCCESSOR ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
WS-L01,L_ANKLE_ROLL,BASELINE RATIO RETAINED,6.056839,Nm CURRENT-LIMITED LINEAR ENDPOINT; NOT CONTINUOUS RATING,6.056839,9.755642,0.238859,0.130139,deg,0.354038426,0.349002052,13.451164635,FAIL BOUNDED NUMERICAL SCREEN,NO HARDWARE CONTROL OR MOTION AUTHORITY,"PRELIMINARY - NUMERICAL HIP-REDUCTION SUCCESSOR ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
WS-L01,L_ELBOW_PITCH,BASELINE RATIO RETAINED,3.562847,Nm CURRENT-LIMITED LINEAR ENDPOINT; NOT CONTINUOUS RATING,0.219299,0.219299,0.003410,0.000822,deg,0.000000000,0.000000000,0.057227825,PASS BOUNDED NUMERICAL SCREEN,NO HARDWARE CONTROL OR MOTION AUTHORITY,"PRELIMINARY - NUMERICAL HIP-REDUCTION SUCCESSOR ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
WS-L01,L_GRIPPER,BASELINE RATIO RETAINED,1.000000,N NUMERICAL HOLD ONLY,0.047835,0.047835,0.432131,0.268150,mm,0.000000000,0.000000000,0.000094207,PRISMATIC FORCE CALIBRATION OPEN,NO HARDWARE CONTROL OR MOTION AUTHORITY,"PRELIMINARY - NUMERICAL HIP-REDUCTION SUCCESSOR ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
WS-L01,L_HIP_PITCH,4.000:1 HIP SUCCESSOR,17.166669,Nm CURRENT-LIMITED LINEAR ENDPOINT; NOT CONTINUOUS RATING,10.700849,10.700849,0.763345,0.320116,deg,0.000000000,0.116023130,13.128863277,PASS BOUNDED NUMERICAL SCREEN,NO HARDWARE CONTROL OR MOTION AUTHORITY,"PRELIMINARY - NUMERICAL HIP-REDUCTION SUCCESSOR ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
WS-L01,L_HIP_ROLL,4.000:1 HIP SUCCESSOR,17.166668,Nm CURRENT-LIMITED LINEAR ENDPOINT; NOT CONTINUOUS RATING,9.842595,9.842595,0.623085,0.250610,deg,0.000000000,0.000000000,0.620096551,PASS BOUNDED NUMERICAL SCREEN,NO HARDWARE CONTROL OR MOTION AUTHORITY,"PRELIMINARY - NUMERICAL HIP-REDUCTION SUCCESSOR ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
WS-L01,L_HIP_YAW,BASELINE RATIO RETAINED,5.049020,Nm CURRENT-LIMITED LINEAR ENDPOINT; NOT CONTINUOUS RATING,1.435951,1.435951,0.116820,0.033228,deg,0.000000000,0.000000000,0.188542119,PASS BOUNDED NUMERICAL SCREEN,NO HARDWARE CONTROL OR MOTION AUTHORITY,"PRELIMINARY - NUMERICAL HIP-REDUCTION SUCCESSOR ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
WS-L01,L_KNEE_PITCH,BASELINE RATIO RETAINED,10.729168,Nm CURRENT-LIMITED LINEAR ENDPOINT; NOT CONTINUOUS RATING,10.729168,28.047928,1.088320,0.591493,deg,0.504570043,0.747435180,55.699353873,FAIL BOUNDED NUMERICAL SCREEN,NO HARDWARE CONTROL OR MOTION AUTHORITY,"PRELIMINARY - NUMERICAL HIP-REDUCTION SUCCESSOR ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
