sheet,reference,terminal,function,net,state,warning
01_source_and_protection.kicad_sch,PS1,CH1+,0-30 V SOURCE POSITIVE,Q4X_SRC_24V_RAW,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_source_and_protection.kicad_sch,PS1,CH1-,ISOLATED SOURCE RETURN,Q4X_0V,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_source_and_protection.kicad_sch,CBLPS1,PS-RD,RED AT SUPPLY,Q4X_SRC_24V_RAW,EXACT DESIGNATION / LENGTH AND PROCUREMENT FORM NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_source_and_protection.kicad_sch,CBLPS1,BOX-RD,RED AT BOX,Q4X_SRC_24V_RAW,EXACT DESIGNATION / LENGTH AND PROCUREMENT FORM NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_source_and_protection.kicad_sch,CBLPS1,PS-BK,BLACK AT SUPPLY,Q4X_0V,EXACT DESIGNATION / LENGTH AND PROCUREMENT FORM NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_source_and_protection.kicad_sch,CBLPS1,BOX-BK,BLACK AT BOX,Q4X_0V,EXACT DESIGNATION / LENGTH AND PROCUREMENT FORM NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_source_and_protection.kicad_sch,PTCB1,IN+,SOURCE POSITIVE,Q4X_SRC_24V_RAW,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_source_and_protection.kicad_sch,PTCB1,IN-,SOURCE RETURN,Q4X_0V,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_source_and_protection.kicad_sch,PTCB1,OUT,PROTECTED OUTPUT,Q4X_24V_PROTECTED,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_source_and_protection.kicad_sch,PTCB1,13,REMOTE NO DNP,INTENTIONALLY_UNCONNECTED_PTCB1_13,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_source_and_protection.kicad_sch,PTCB1,14,REMOTE NO DNP,INTENTIONALLY_UNCONNECTED_PTCB1_14,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_source_and_protection.kicad_sch,XQ1.1,A,SOURCE RETURN,Q4X_0V,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_source_and_protection.kicad_sch,XQ1.1,B,PTCB IN-,Q4X_0V,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_source_and_protection.kicad_sch,XQ1.1,C,Q4X PIN 3 BLUE,Q4X_0V,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_source_and_protection.kicad_sch,XQ1.1,D,EMPTY TEST PORT,Q4X_0V,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_source_and_protection.kicad_sch,XQ1.2,A,PTCB OUT,Q4X_24V_PROTECTED,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_source_and_protection.kicad_sch,XQ1.2,B,Q4X PIN 1 BROWN,Q4X_24V_PROTECTED,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
