reference,value,quantity,state,source,warning
PS1,Keithley 2220-30-1 CH1 ONLY,1,EXACT EVALUATION CANDIDATE / NOT RELEASED,Tektronix 2220S-905-01 Rev B,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CBLPS1,Alpha Wire 881802 - 2C 18 AWG,1,EXACT DESIGNATION / LENGTH AND PROCUREMENT FORM NOT RELEASED,Alpha Wire live 881802 page,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PTCB1,Phoenix PTCB E1 24DC/0.1A NO / 1464484,1,EXACT EVALUATION CANDIDATE / NOT RELEASED,Phoenix Contact live page checked 2026-08-10,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
XQ1.1,"Phoenix PT 2,5-QUATTRO / 3209578",1,EXACT EVALUATION CANDIDATE / NOT RELEASED,Phoenix 3209578 product data,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
XQ1.2,"Phoenix PT 2,5 / 3209510",1,EXACT EVALUATION CANDIDATE / NOT RELEASED,Phoenix 3209510 product data,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CBLQ4X1,Banner BC-M12F5-22-2-SF / 815158,1,EXACT EVALUATION CANDIDATE / NOT RELEASED,Banner part 815158 live page,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q4X1,Banner Q4XFULAF110-Q8 / 97540,1,EXACT EVALUATION CANDIDATE / NOT RELEASED,Banner manual 185624 Rev J,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
XQ1.3,"Phoenix PT 2,5 / 3209510",1,EXACT EVALUATION CANDIDATE / NOT RELEASED,Phoenix 3209510 product data,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
XQ1.4,"Phoenix PT 2,5 / 3209510",1,EXACT EVALUATION CANDIDATE / TEST FIXTURE OPEN,Phoenix 3209510 product data,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
XQ1.5,"Phoenix PT 2,5 / 3209510",1,EXACT EVALUATION CANDIDATE / TEST FIXTURE OPEN,Phoenix 3209510 product data,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
XQ1.6,"Phoenix PT 2,5 / 3209510",1,EXACT EVALUATION CANDIDATE / NOT RELEASED,Phoenix 3209510 product data,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
TEST1,ISOLATED ANALOG LEAD FIXTURE - SELECTION REQUIRED,1,SELECTION REQUIRED / NO CONNECTION RELEASED,No manufacturer selected,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
