wire_number,sheet,reference,terminal,net,warning
W1001,01_source_and_protection.kicad_sch,PS1,CH1+,Q4X_SRC_24V_RAW,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W1002,01_source_and_protection.kicad_sch,PS1,CH1-,Q4X_0V,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W1003,01_source_and_protection.kicad_sch,CBLPS1,PS-RD,Q4X_SRC_24V_RAW,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W1005,01_source_and_protection.kicad_sch,CBLPS1,BOX-RD,Q4X_SRC_24V_RAW,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W1004,01_source_and_protection.kicad_sch,CBLPS1,PS-BK,Q4X_0V,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W1006,01_source_and_protection.kicad_sch,CBLPS1,BOX-BK,Q4X_0V,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W1007,01_source_and_protection.kicad_sch,PTCB1,IN+,Q4X_SRC_24V_RAW,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W1008,01_source_and_protection.kicad_sch,PTCB1,IN-,Q4X_0V,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W1009,01_source_and_protection.kicad_sch,PTCB1,OUT,Q4X_24V_PROTECTED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W1010,01_source_and_protection.kicad_sch,XQ1.1,A,Q4X_0V,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W1011,01_source_and_protection.kicad_sch,XQ1.1,B,Q4X_0V,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W1012,01_source_and_protection.kicad_sch,XQ1.1,C,Q4X_0V,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W1013,01_source_and_protection.kicad_sch,XQ1.1,D,Q4X_0V,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W1014,01_source_and_protection.kicad_sch,XQ1.2,A,Q4X_24V_PROTECTED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W1015,01_source_and_protection.kicad_sch,XQ1.2,B,Q4X_24V_PROTECTED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2001,02_sensor_and_signal.kicad_sch,CBLQ4X1,1-BN,Q4X_24V_PROTECTED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2002,02_sensor_and_signal.kicad_sch,CBLQ4X1,3-BU,Q4X_0V,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2003,02_sensor_and_signal.kicad_sch,CBLQ4X1,2-WH,Q4X_REMOTE_PARK,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2004,02_sensor_and_signal.kicad_sch,CBLQ4X1,4-BK,Q4X_ANALOG_OUT,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2005,02_sensor_and_signal.kicad_sch,CBLQ4X1,5-GY,Q4X_ANALOG_GND,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2006,02_sensor_and_signal.kicad_sch,CBLQ4X1,DRN,Q4X_SHIELD_PARK,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2007,02_sensor_and_signal.kicad_sch,Q4X1,1,Q4X_24V_PROTECTED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2008,02_sensor_and_signal.kicad_sch,Q4X1,3,Q4X_0V,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2009,02_sensor_and_signal.kicad_sch,Q4X1,2,Q4X_REMOTE_PARK,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2010,02_sensor_and_signal.kicad_sch,Q4X1,4,Q4X_ANALOG_OUT,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2011,02_sensor_and_signal.kicad_sch,Q4X1,5,Q4X_ANALOG_GND,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2012,02_sensor_and_signal.kicad_sch,XQ1.3,A,Q4X_REMOTE_PARK,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2013,02_sensor_and_signal.kicad_sch,XQ1.3,B,Q4X_REMOTE_PARK,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2014,02_sensor_and_signal.kicad_sch,XQ1.4,A,Q4X_ANALOG_OUT,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2015,02_sensor_and_signal.kicad_sch,XQ1.4,B,Q4X_ANALOG_OUT,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2016,02_sensor_and_signal.kicad_sch,XQ1.5,A,Q4X_ANALOG_GND,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
