sample_index,daq_time_s,stop_event_state,k1_coil_state,k2_coil_state,common_edm_chain_state,k1_aux_status_state,k2_aux_status_state,source_voltage_V,external_angle_deg,dropped_scan_count,sensor_saturation_flags,run_id,configuration_commit,article_revision,calibration_bundle_hash,timing_budget_revision
0,0.000000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
1,0.001000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
2,0.002000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
3,0.003000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
4,0.004000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
5,0.005000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
6,0.006000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
7,0.007000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
8,0.008000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
9,0.009000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
10,0.010000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
11,0.011000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
12,0.012000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
13,0.013000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
14,0.014000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
15,0.015000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
16,0.016000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
17,0.017000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
18,0.018000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
19,0.019000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
20,0.020000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
21,0.021000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
